iteration,type,id,money
1,agent,G0,50250000.00
1,agent,G1,91140000.00
1,agent,G2,54940000.00
1,agent,G3,32993593.42
1,agent,G4,4500000.00
1,agent,G5,53070000.00
1,agent,G6,12777593.42
1,agent,G7,46920000.00
1,agent,G8,21850000.00
1,agent,G9,40543906.00
1,firm,F0,6000000.00
1,firm,F1,30000000.00
1,firm,F2,90456094.00
1,firm,F3,6000000.00
1,firm,F4,23148813.15
1,firm,F5,45000000.00
1,firm,F6,31000000.00
1,firm,F7,98000000.00
1,firm,F8,20000000.00
1,firm,F9,44000000.00
1,firm,F10,44000000.00
2,agent,G0,50250000.00
2,agent,G1,91140000.00
2,agent,G2,54940000.00
2,agent,G3,32686913.76
2,agent,G4,4500000.00
2,agent,G5,53070000.00
2,agent,G6,12777593.42
2,agent,G7,46920000.00
2,agent,G8,21850000.00
2,agent,G9,40699368.00
2,firm,F0,6000000.00
2,firm,F1,29844538.00
2,firm,F2,90456094.00
2,firm,F3,6000000.00
2,firm,F4,23148813.15
2,firm,F5,45000000.00
2,firm,F6,31306679.66
2,firm,F7,98000000.00
2,firm,F8,20000000.00
2,firm,F9,44000000.00
2,firm,F10,22000000.00
2,firm,F11,22000000.00
3,agent,G0,50250000.00
3,agent,G1,90883873.91
3,agent,G2,54940000.00
3,agent,G3,32686913.76
3,agent,G4,4500000.00
3,agent,G5,53070000.00
3,agent,G6,12777593.42
3,agent,G7,46920000.00
3,agent,G8,21850000.00
3,agent,G9,40699368.00
3,firm,F0,6000000.00
3,firm,F1,29844538.00
3,firm,F2,90456094.00
3,firm,F3,6000000.00
3,firm,F4,23024588.15
3,firm,F5,45000000.00
3,firm,F6,31306679.66
3,firm,F7,20000000.00
3,firm,F8,44000000.00
3,firm,F9,22000000.00
3,firm,F10,22000000.00
3,firm,F11,49190175.55
3,firm,F12,49190175.55
4,agent,G0,50250000.00
4,agent,G1,90883873.91
4,agent,G2,54424606.79
4,agent,G3,32686913.76
4,agent,G4,4500000.00
4,agent,G5,53070000.00
4,agent,G6,13756064.42
4,agent,G7,46920000.00
4,agent,G8,21850000.00
4,agent,G9,40699368.00
4,firm,F0,6000000.00
4,firm,F1,29844538.00
4,firm,F2,90456094.00
4,firm,F3,6000000.00
4,firm,F4,23024588.15
4,firm,F5,31306679.66
4,firm,F6,20000000.00
4,firm,F7,44515393.21
4,firm,F8,22000000.00
4,firm,F9,22000000.00
4,firm,F10,49190175.55
4,firm,F11,93211704.55
5,agent,G0,50250000.00
5,agent,G1,90883873.91
5,agent,G2,54424606.79
5,agent,G3,32686913.76
5,agent,G4,4500000.00
5,agent,G5,53070000.00
5,agent,G6,14123137.42
5,agent,G7,46920000.00
5,agent,G8,21655128.64
5,agent,G9,40699368.00
5,firm,F0,6000000.00
5,firm,F1,29844538.00
5,firm,F2,90456094.00
5,firm,F3,6000000.00
5,firm,F4,22852386.51
5,firm,F5,44515393.21
5,firm,F6,22000000.00
5,firm,F7,22000000.00
5,firm,F8,93211704.55
5,firm,F9,51306679.66
6,agent,G0,50250000.00
6,agent,G1,90883873.91
6,agent,G2,56991435.73
6,agent,G3,32686913.76
6,agent,G4,2688841.94
6,agent,G5,53070000.00
6,agent,G6,13967675.42
6,agent,G7,46920000.00
6,agent,G8,21655128.64
6,agent,G9,40694704.14
6,firm,F0,6000000.00
6,firm,F1,29849201.86
6,firm,F2,90456094.00
6,firm,F3,6000000.00
6,firm,F4,23007848.51
6,firm,F5,22022316.12
6,firm,F6,22000000.00
6,firm,F7,92433717.55
6,firm,F8,95822072.87
7,agent,G0,50250000.00
7,agent,G1,89905402.91
7,agent,G2,33884503.67
7,agent,G3,32686913.76
7,agent,G4,3163385.94
7,agent,G5,53070000.00
7,agent,G6,13938321.29
7,agent,G7,46920000.00
7,agent,G8,44141345.16
7,agent,G9,40694704.14
7,firm,F0,6000000.00
7,firm,F1,29849201.86
7,firm,F2,90456094.00
7,firm,F3,6620715.54
7,firm,F4,23986319.51
7,firm,F5,95347528.87
7,firm,F6,44022316.12
8,agent,G0,50250000.00
8,agent,G1,53667618.01
8,agent,G2,33884503.67
8,agent,G3,68373451.19
8,agent,G4,3163385.94
8,agent,G5,53070000.00
8,agent,G6,13908967.16
8,agent,G7,49163215.00
8,agent,G8,44141345.16
8,agent,G9,39716233.14
8,firm,F0,6000000.00
8,firm,F1,29849201.86
8,firm,F2,24537566.98
8,firm,F3,95347528.87
8,firm,F4,44022316.12
8,firm,F5,95812065.54
9,agent,G0,50250000.00
9,agent,G1,53667618.01
9,agent,G2,33884503.67
9,agent,G3,68373451.19
9,agent,G4,1885486.94
9,agent,G5,53070000.00
9,agent,G6,13879613.03
9,agent,G7,50416024.75
9,agent,G8,44141345.16
9,agent,G9,39781509.14
9,firm,F0,6000000.00
9,firm,F1,24562656.24
9,firm,F2,95347528.87
9,firm,F3,42978569.12
9,firm,F4,95812065.54
9,firm,F5,15413836.43
9,firm,F6,15413836.43
10,agent,G0,50686806.00
10,agent,G1,53667618.01
10,agent,G2,33884503.67
10,agent,G3,68373451.19
10,agent,G4,841739.94
10,agent,G5,53070000.00
10,agent,G6,8254551.32
10,agent,G7,50416024.75
10,agent,G8,44141345.16
10,agent,G9,45228825.44
10,firm,F0,6000000.00
10,firm,F1,24562656.24
10,firm,F2,95954469.87
10,firm,F3,15413836.43
10,firm,F4,138968380.07
11,agent,G0,50686806.00
11,agent,G1,57085505.01
11,agent,G2,33884503.67
11,agent,G3,68373451.19
11,agent,G4,841739.94
11,agent,G5,53070000.00
11,agent,G6,4916744.85
11,agent,G7,52638112.34
11,agent,G8,44141345.16
11,agent,G9,45197513.03
11,firm,F0,6000000.00
11,firm,F1,24562656.24
11,firm,F2,95954469.87
11,firm,F3,15485808.30
11,firm,F4,67775246.54
11,firm,F5,67775246.54
12,agent,G0,50686806.00
12,agent,G1,57085505.01
12,agent,G2,33861164.06
12,agent,G3,67774305.44
12,agent,G4,1237487.94
12,agent,G5,53070000.00
12,agent,G6,4916744.85
12,agent,G7,52638112.34
12,agent,G8,44141345.16
12,agent,G9,44419526.03
12,firm,F0,6000000.00
12,firm,F1,15485808.30
12,firm,F2,67775246.54
12,firm,F3,120720523.86
13,agent,G0,50686806.00
13,agent,G1,57085505.01
13,agent,G2,33861164.06
13,agent,G3,67774305.44
13,agent,G4,-2345674.06
13,agent,G5,31672142.11
13,agent,G6,4916744.85
13,agent,G7,52638112.34
13,agent,G8,65199487.27
13,agent,G9,47895193.17
13,firm,F0,6000000.00
13,firm,F1,15485808.30
13,firm,F2,67775246.54
13,firm,F3,117584572.50
14,agent,G0,50686806.00
14,agent,G1,34066953.82
14,agent,G2,33861164.06
14,agent,G3,67774305.44
14,agent,G4,-2345674.06
14,agent,G5,33308244.11
14,agent,G6,3908919.72
14,agent,G7,75287965.16
14,agent,G8,65199487.27
14,agent,G9,47895193.17
14,firm,F0,6000000.00
14,firm,F1,15485808.30
14,firm,F2,117953270.87
14,firm,F3,33069572.27
14,firm,F4,33069572.27
15,agent,G0,47268919.00
15,agent,G1,63716772.28
15,agent,G2,33861164.06
15,agent,G3,67774305.44
15,agent,G4,-2345674.06
15,agent,G5,33308244.11
15,agent,G6,3908919.72
15,agent,G7,45951845.10
15,agent,G8,65199487.27
15,agent,G9,47895193.17
15,firm,F0,6000000.00
15,firm,F1,15485808.30
15,firm,F2,33069572.27
15,firm,F3,33069572.27
15,firm,F4,58768517.93
15,firm,F5,58768517.93
16,agent,G0,47268919.00
16,agent,G1,77062691.22
16,agent,G2,20118151.75
16,agent,G3,67774305.44
16,agent,G4,-2345674.06
16,agent,G5,33308244.11
16,agent,G6,3883134.87
16,agent,G7,45951845.10
16,agent,G8,65199487.27
16,agent,G9,47895193.17
16,firm,F0,6000000.00
16,firm,F1,15485808.30
16,firm,F2,33095357.12
16,firm,F3,33069572.27
16,firm,F4,58768517.93
16,firm,F5,29582805.65
16,firm,F6,29582805.65
17,agent,G0,47268919.00
17,agent,G1,45892377.50
17,agent,G2,16700264.75
17,agent,G3,67774305.44
17,agent,G4,-2345674.06
17,agent,G5,33308244.11
17,agent,G6,3883134.87
17,agent,G7,46410428.10
17,agent,G8,95781863.14
17,agent,G9,47895193.17
17,firm,F0,15485808.30
17,firm,F1,33580758.37
17,firm,F2,32610989.27
17,firm,F3,58768517.93
17,firm,F4,29582805.65
17,firm,F5,29582805.65
17,firm,F6,3000000.00
17,firm,F7,3000000.00
18,agent,G0,47268919.00
18,agent,G1,45433794.50
18,agent,G2,16700264.75
18,agent,G3,67774305.44
18,agent,G4,16677313.33
18,agent,G5,33400861.11
18,agent,G6,3883134.87
18,agent,G7,46396670.61
18,agent,G8,95781863.14
18,agent,G9,28602026.02
18,firm,F0,15393191.30
18,firm,F1,32624746.76
18,firm,F2,58768517.93
18,firm,F3,29582805.65
18,firm,F4,29582805.65
18,firm,F5,3000000.00
18,firm,F6,3000000.00
18,firm,F7,16925469.06
18,firm,F8,16925469.06
19,agent,G0,28255688.40
19,agent,G1,45433794.50
19,agent,G2,16700264.75
19,agent,G3,67774305.44
19,agent,G4,16677313.33
19,agent,G5,33016164.11
19,agent,G6,3883134.87
19,agent,G7,46769826.70
19,agent,G8,114583767.74
19,agent,G9,28602026.02
19,firm,F0,15777888.30
19,firm,F1,32624746.76
19,firm,F2,58768517.93
19,firm,F3,29209649.56
19,firm,F4,29582805.65
19,firm,F5,3000000.00
19,firm,F6,3211326.00
19,firm,F7,16925469.06
19,firm,F8,8462734.53
19,firm,F9,8462734.53
20,agent,G0,28255688.40
20,agent,G1,45433794.50
20,agent,G2,16700264.75
20,agent,G3,86259928.48
20,agent,G4,16677313.33
20,agent,G5,33016164.11
20,agent,G6,3883134.87
20,agent,G7,25339155.39
20,agent,G8,114583767.74
20,agent,G9,28494531.16
20,firm,F0,15777888.30
20,firm,F1,36207908.76
20,firm,F2,58130404.20
20,firm,F3,29582805.65
20,firm,F4,3000000.00
20,firm,F5,3211326.00
20,firm,F6,16925469.06
20,firm,F7,8462734.53
20,firm,F8,8462734.53
20,firm,F9,14604824.78
20,firm,F10,14604824.78
21,agent,G0,29181438.40
21,agent,G1,45433794.50
21,agent,G2,9983954.95
21,agent,G3,86259928.48
21,agent,G4,16677313.33
21,agent,G5,39660066.11
21,agent,G6,3883134.87
21,agent,G7,25306673.52
21,agent,G8,114583767.74
21,agent,G9,27411802.16
21,firm,F0,15777888.30
21,firm,F1,35282158.76
21,firm,F2,58162886.07
21,firm,F3,29582805.65
