iteration,type,id,money
1,agent,G0,24048269.00
1,agent,G1,35840000.00
1,agent,G2,18360000.00
1,agent,G3,79120000.00
1,agent,G4,29728803.94
1,agent,G5,9380000.00
1,agent,G6,24762803.94
1,agent,G7,7500000.00
1,agent,G8,58320000.00
1,agent,G9,88270000.00
1,firm,F0,17000000.00
1,firm,F1,2000000.00
1,firm,F2,13000000.00
1,firm,F3,2000000.00
1,firm,F4,65451731.00
1,firm,F5,51000000.00
1,firm,F6,64000000.00
1,firm,F7,76000000.00
1,firm,F8,95178392.12
10,agent,G0,62380954.87
10,agent,G1,38016758.50
10,agent,G2,10302264.00
10,agent,G3,64423519.09
10,agent,G4,83233232.22
10,agent,G5,34508429.36
10,agent,G6,16991931.03
10,agent,G7,7500000.00
10,agent,G8,39683228.23
10,agent,G9,31084295.54
10,firm,F0,13000000.00
10,firm,F1,9272056.42
10,firm,F2,79832125.10
10,firm,F3,72550171.00
10,firm,F4,16362932.75
10,firm,F5,74842040.52
10,firm,F6,53346058.47
10,firm,F7,25363266.70
10,firm,F8,12681633.35
10,firm,F9,12681633.35
20,agent,G0,31916534.37
20,agent,G1,-759522.47
20,agent,G2,10961406.00
20,agent,G3,68307772.77
20,agent,G4,97408241.64
20,agent,G5,4645681.01
20,agent,G6,25509889.28
20,agent,G7,71901363.09
20,agent,G8,45549909.39
20,agent,G9,8479524.71
20,firm,F0,17214158.77
20,firm,F1,74276789.66
20,firm,F2,73960241.37
20,firm,F3,95362374.95
30,agent,G0,5737258.42
30,agent,G1,-759522.47
30,agent,G2,7111571.00
30,agent,G3,81488727.16
30,agent,G4,126712200.71
30,agent,G5,-17760019.67
30,agent,G6,4842674.27
30,agent,G7,48673056.01
30,agent,G8,64524180.99
30,agent,G9,-12383558.71
30,firm,F0,24934514.17
30,firm,F1,75648909.56
30,firm,F2,18485022.79
30,firm,F3,42200668.47
30,firm,F4,48811425.62
30,firm,F5,24405712.81
30,firm,F6,24405712.81
40,agent,G0,4907831.55
40,agent,G1,-676147.98
40,agent,G2,8858845.88
40,agent,G3,89154103.48
40,agent,G4,126712200.71
40,agent,G5,-15671780.03
40,agent,G6,-72967.44
40,agent,G7,23601871.70
40,agent,G8,77875806.47
40,agent,G9,-11191563.53
40,firm,F0,24059462.21
40,firm,F1,35595990.38
40,firm,F2,12191066.47
40,firm,F3,5443824.70
40,firm,F4,63405505.91
40,firm,F5,43878238.03
40,firm,F6,20865538.40
40,firm,F7,4228232.70
40,firm,F8,7017121.56
40,firm,F9,12734581.54
40,firm,F10,12734581.54
50,agent,G0,-2126532.99
50,agent,G1,44680646.67
50,agent,G2,7158686.98
50,agent,G3,27572090.57
50,agent,G4,128800514.29
50,agent,G5,4033880.29
50,agent,G6,-72967.44
50,agent,G7,25019784.69
50,agent,G8,77484414.56
50,agent,G9,-9979662.91
50,firm,F0,10220464.07
50,firm,F1,41352168.60
50,firm,F2,13690911.20
50,firm,F3,17797995.19
50,firm,F4,25004725.21
50,firm,F5,25004725.21
50,firm,F6,12620422.37
50,firm,F7,29760494.73
60,agent,G0,-852847.27
60,agent,G1,-2806730.52
60,agent,G2,2152456.61
60,agent,G3,18295948.36
60,agent,G4,12944628.98
60,agent,G5,-3754911.76
60,agent,G6,-25538.60
60,agent,G7,5196346.97
60,agent,G8,1691872.31
60,agent,G9,-1632933.29
60,firm,F0,33035063.16
60,firm,F1,8101782.04
60,firm,F2,10678797.11
60,firm,F3,18117782.13
60,firm,F4,2623380.20
60,firm,F5,3296291.70
60,firm,F6,5646613.54
60,firm,F7,6654508.56
60,firm,F8,6654508.56
60,firm,F9,3379244.80
60,firm,F10,4892117.58
60,firm,F11,1920517.44
60,firm,F12,861378.18
60,firm,F13,861378.18
60,firm,F14,3379244.80
60,firm,F15,3379244.80
70,agent,G0,-2248707.67
70,agent,G1,-2232275.43
70,agent,G2,1246239.62
70,agent,G3,19255138.36
70,agent,G4,12208421.90
70,agent,G5,-3447531.71
70,agent,G6,608092.84
70,agent,G7,-524797.66
70,agent,G8,536035.77
70,agent,G9,-1456934.85
70,firm,F0,5646613.54
70,firm,F1,5437952.56
70,firm,F2,6924248.72
70,firm,F3,3379244.80
70,firm,F4,2499087.23
70,firm,F5,947553.60
70,firm,F6,2009065.07
70,firm,F7,5194076.36
70,firm,F8,5194076.36
70,firm,F9,1223029.40
70,firm,F10,4491820.93
70,firm,F11,14037640.09
80,agent,G0,185699.26
80,agent,G1,119145.45
80,agent,G2,325008.69
80,agent,G3,18595539.30
80,agent,G4,3183368.66
80,agent,G5,-3447531.71
80,agent,G6,-582294.85
80,agent,G7,-1891605.71
80,agent,G8,304699.62
80,agent,G9,-1158066.78
80,firm,F0,7367306.94
80,firm,F1,6795168.62
80,firm,F2,13033661.43
80,firm,F3,6165201.21
80,firm,F4,6829480.44
80,firm,F5,13115317.15
80,firm,F6,835760.35
80,firm,F7,305757.35
80,firm,F8,293633.08
80,firm,F9,7565839.31
90,agent,G0,-71260.01
90,agent,G1,-1620599.53
90,agent,G2,-97826.30
90,agent,G3,7459520.68
90,agent,G4,167513.56
90,agent,G5,-2444391.69
90,agent,G6,148849.10
90,agent,G7,-1891605.71
90,agent,G8,1475258.56
90,agent,G9,3149280.28
90,firm,F0,6788128.33
90,firm,F1,13435159.05
90,firm,F2,12540108.42
90,firm,F3,4851441.26
90,firm,F4,20224200.54
90,firm,F5,2227604.59
90,firm,F6,494560.96
90,firm,F7,2722165.55
90,firm,F8,1543649.64
90,firm,F9,1543649.64
100,agent,G0,1230619.88
100,agent,G1,-1420685.60
100,agent,G2,-1064788.39
100,agent,G3,10303763.69
100,agent,G4,522035.05
100,agent,G5,-1696271.99
100,agent,G6,-31715.41
100,agent,G7,-1687495.73
100,agent,G8,800036.03
100,agent,G9,796163.07
100,firm,F0,7040251.14
100,firm,F1,11393629.05
100,firm,F2,2816280.74
100,firm,F3,1543649.64
100,firm,F4,223226.21
100,firm,F5,12346040.54
100,firm,F6,2410441.10
100,firm,F7,3135173.65
100,firm,F8,17439524.74
100,firm,F9,5515213.49
