iteration,type,id,money
1,agent,G0,27000000.00
1,agent,G1,72090000.00
1,agent,G2,210000.00
1,agent,G3,3955048.68
1,agent,G4,17400000.00
1,agent,G5,24120000.00
1,agent,G6,31792409.00
1,agent,G7,39560000.00
1,agent,G8,1040000.00
1,agent,G9,49680000.00
1,firm,F0,84000000.00
1,firm,F1,49000000.00
1,firm,F2,22000000.00
1,firm,F3,7000000.00
1,firm,F4,63364951.32
1,firm,F5,98000000.00
1,firm,F6,82887591.00
1,firm,F7,74000000.00
1,firm,F8,90000000.00
2,agent,G0,27000000.00
2,agent,G1,72090000.00
2,agent,G2,210000.00
2,agent,G3,3955048.68
2,agent,G4,15521601.46
2,agent,G5,35942937.00
2,agent,G6,31792409.00
2,agent,G7,39560000.00
2,agent,G8,1040000.00
2,agent,G9,49680000.00
2,firm,F0,85878398.54
2,firm,F1,49000000.00
2,firm,F2,7000000.00
2,firm,F3,98000000.00
2,firm,F4,82887591.00
2,firm,F5,62177063.00
2,firm,F6,90000000.00
2,firm,F7,85364951.32
3,agent,G0,27000000.00
3,agent,G1,72090000.00
3,agent,G2,347682.00
3,agent,G3,3955048.68
3,agent,G4,14393256.67
3,agent,G5,35942937.00
3,agent,G6,31792409.00
3,agent,G7,39560000.00
3,agent,G8,1040000.00
3,agent,G9,49680000.00
3,firm,F0,85878398.54
3,firm,F1,49000000.00
3,firm,F2,7000000.00
3,firm,F3,82887591.00
3,firm,F4,62177063.00
3,firm,F5,90990662.79
3,firm,F6,183364951.32
4,agent,G0,41433675.00
4,agent,G1,72090000.00
4,agent,G2,14721060.16
4,agent,G3,3955048.68
4,agent,G4,14393256.67
4,agent,G5,35942937.00
4,agent,G6,31792409.00
4,agent,G7,22285378.16
4,agent,G8,1040000.00
4,agent,G9,49680000.00
4,firm,F0,85878398.54
4,firm,F1,49000000.00
4,firm,F2,7000000.00
4,firm,F3,65078306.68
4,firm,F4,76556987.79
4,firm,F5,183364951.32
4,firm,F6,41443795.50
4,firm,F7,41443795.50
5,agent,G0,41433675.00
5,agent,G1,72090000.00
5,agent,G2,7986172.29
5,agent,G3,3955048.68
5,agent,G4,14393256.67
5,agent,G5,35942937.00
5,agent,G6,31792409.00
5,agent,G7,22285378.16
5,agent,G8,6081960.26
5,agent,G9,50707732.00
5,firm,F0,85878398.54
5,firm,F1,47972268.00
5,firm,F2,7000000.00
5,firm,F3,65078306.68
5,firm,F4,76556987.79
5,firm,F5,183364951.32
5,firm,F6,84580518.62
6,agent,G0,41433675.00
6,agent,G1,72090000.00
6,agent,G2,7944867.69
6,agent,G3,3955048.68
6,agent,G4,14393256.67
6,agent,G5,35942937.00
6,agent,G6,31792409.00
6,agent,G7,12455056.25
6,agent,G8,9635827.26
6,agent,G9,58705712.62
6,firm,F0,49804609.29
6,firm,F1,65078306.68
6,firm,F2,76598292.39
6,firm,F3,183364951.32
6,firm,F4,81026651.62
6,firm,F5,92878398.54
7,agent,G0,41433675.00
7,agent,G1,72090000.00
7,agent,G2,-3878069.31
7,agent,G3,3955048.68
7,agent,G4,14393256.67
7,agent,G5,36572333.90
7,agent,G6,31792409.00
7,agent,G7,7027182.02
7,agent,G8,14171998.02
7,agent,G9,58705712.62
7,firm,F0,69516891.25
7,firm,F1,84244951.39
7,firm,F2,183364951.32
7,firm,F3,81026651.62
7,firm,F4,92878398.54
7,firm,F5,24902304.64
7,firm,F6,24902304.64
8,agent,G0,43890278.77
8,agent,G1,72090000.00
8,agent,G2,-3878069.31
8,agent,G3,3955048.68
8,agent,G4,14393256.67
8,agent,G5,33025452.80
8,agent,G6,19969472.00
8,agent,G7,3862040.17
8,agent,G8,14171998.02
8,agent,G9,74675995.62
8,firm,F0,73063772.35
8,firm,F1,167394668.32
8,firm,F2,81026651.62
8,firm,F3,92878398.54
8,firm,F4,25610842.73
8,firm,F5,24902304.64
8,firm,F6,42122475.70
8,firm,F7,42122475.70
9,agent,G0,39560176.27
9,agent,G1,72090000.00
9,agent,G2,-3878069.31
9,agent,G3,3955048.68
9,agent,G4,14393256.67
9,agent,G5,18591777.80
9,agent,G6,19969472.00
9,agent,G7,3545923.55
9,agent,G8,14171998.02
9,agent,G9,88277912.62
9,firm,F0,73063772.35
9,firm,F1,167394668.32
9,firm,F2,92878398.54
9,firm,F3,25610842.73
9,firm,F4,42122475.70
9,firm,F5,28520558.70
9,firm,F6,106245072.87
10,agent,G0,39560176.27
10,agent,G1,78651525.63
10,agent,G2,-3878069.31
10,agent,G3,3955048.68
10,agent,G4,14393256.67
10,agent,G5,10279881.19
10,agent,G6,19969472.00
10,agent,G7,3545923.55
10,agent,G8,14171998.02
10,agent,G9,86883441.52
10,firm,F0,69810006.45
10,firm,F1,92878398.54
10,firm,F2,25610842.73
10,firm,F3,30270929.68
10,firm,F4,106245072.87
10,firm,F5,209517144.02
11,agent,G0,39560176.27
11,agent,G1,82199695.18
11,agent,G2,-3878069.31
11,agent,G3,3955048.68
11,agent,G4,14393256.67
11,agent,G5,3650643.69
11,agent,G6,19969472.00
11,agent,G7,3545923.55
11,agent,G8,14171998.02
11,agent,G9,75060504.52
11,firm,F0,92878398.54
11,firm,F1,25610842.73
11,firm,F2,30270929.68
11,firm,F3,104651693.87
11,firm,F4,210644709.88
11,firm,F5,36678443.77
11,firm,F6,36678443.77
12,agent,G0,39560176.27
12,agent,G1,83579498.06
12,agent,G2,-3878069.31
12,agent,G3,2170812.62
12,agent,G4,14393256.67
12,agent,G5,-997593.31
12,agent,G6,19969472.00
12,agent,G7,3545923.55
12,agent,G8,14171998.02
12,agent,G9,76767534.42
12,firm,F0,92878398.54
12,firm,F1,25610842.73
12,firm,F2,30270929.68
12,firm,F3,210644709.88
12,firm,F4,33576942.77
12,firm,F5,37082876.95
12,firm,F6,54649965.44
12,firm,F7,54649965.44
13,agent,G0,39560176.27
13,agent,G1,83579498.06
13,agent,G2,-3878069.31
13,agent,G3,1968391.30
