iteration,type,id,money
1,agent,G0,31540000.00
1,agent,G1,38270000.00
1,agent,G2,31800000.00
1,agent,G3,58740000.00
1,agent,G4,1927798.45
1,agent,G5,4160779.45
1,agent,G6,55300000.00
1,agent,G7,78200000.00
1,agent,G8,13600000.00
1,agent,G9,8160000.00
1,firm,F0,61000000.00
1,firm,F1,69000000.00
1,firm,F2,41014441.09
1,firm,F3,4000000.00
1,firm,F4,2000000.00
1,firm,F5,3000000.00
1,firm,F6,24696981.00
1,firm,F7,145000000.00
10,agent,G0,31540000.00
10,agent,G1,22583650.08
10,agent,G2,56730345.98
10,agent,G3,75140661.30
10,agent,G4,7214161.46
10,agent,G5,4160779.45
10,agent,G6,74344466.04
10,agent,G7,84682641.00
10,agent,G8,1653990.11
10,agent,G9,13462112.65
10,firm,F0,101225844.03
10,firm,F1,2323294.79
10,firm,F2,87504015.60
10,firm,F3,31493202.44
10,firm,F4,40003413.56
20,agent,G0,105094305.02
20,agent,G1,25244020.28
20,agent,G2,1044141.65
20,agent,G3,30542427.53
20,agent,G4,-1080377.54
20,agent,G5,-20166060.55
20,agent,G6,48738024.86
20,agent,G7,63333813.58
20,agent,G8,31434238.38
20,agent,G9,11040625.43
20,firm,F0,73483299.24
20,firm,F1,46051935.36
20,firm,F2,15327660.85
20,firm,F3,20234819.23
20,firm,F4,20278234.27
20,firm,F5,20278234.27
30,agent,G0,97588375.62
30,agent,G1,34622357.32
30,agent,G2,20274531.74
30,agent,G3,29368385.43
30,agent,G4,-1043147.09
30,agent,G5,-20136878.38
30,agent,G6,28729485.16
30,agent,G7,75479803.64
30,agent,G8,14775732.04
30,agent,G9,16692000.43
30,firm,F0,18382804.15
30,firm,F1,86084676.36
30,firm,F2,8048729.39
30,firm,F3,6002450.59
30,firm,F4,16536682.78
40,agent,G0,58092866.58
40,agent,G1,35150955.32
40,agent,G2,2948064.42
40,agent,G3,23872405.96
40,agent,G4,28768595.80
40,agent,G5,5924692.11
40,agent,G6,37961438.78
40,agent,G7,26845432.22
40,agent,G8,21610793.60
40,agent,G9,73014051.20
40,firm,F0,56216228.01
40,firm,F1,13386771.24
40,firm,F2,13675252.29
40,firm,F3,3309511.44
40,firm,F4,3309511.44
40,firm,F5,5259529.18
40,firm,F6,5259529.18
50,agent,G0,46115508.39
50,agent,G1,16390144.07
50,agent,G2,19237032.86
50,agent,G3,8422649.43
50,agent,G4,7136134.07
50,agent,G5,7846825.11
50,agent,G6,56364839.78
50,agent,G7,26906936.22
50,agent,G8,34672199.19
50,agent,G9,71529692.15
50,firm,F0,1889740.75
50,firm,F1,944870.38
50,firm,F2,944870.38
50,firm,F3,19547702.96
60,agent,G0,22874740.33
60,agent,G1,2333880.13
60,agent,G2,14853179.45
60,agent,G3,36990042.88
60,agent,G4,27147986.09
60,agent,G5,7670560.91
60,agent,G6,32412131.64
