run,type,max,min,median,mean,stddev
0,agent,17700058.301214974,1086795.4803181086,7408496.3366974965,7583204.3638899345,4626479.661514806
0,firm,279490.7828297414,49018.564998152186,153435.17056922143,158844.92224158414,90249.17213968321
1,agent,48282400.27592685,905804.3881120516,28580213.804502178,27602639.28908525,15870848.647532009
1,firm,973957.9912119793,94136.60758962476,307034.48285329,413714.5153402065,292334.3216580896
2,agent,54319700.725570716,10288342.08895316,22349775.649862,24867032.748010322,13482312.275373852
2,firm,1522721.4451131658,213946.3262559027,571863.4187991738,681857.7564402395,443588.16246822884
3,agent,38863121.44430889,1162067.794177651,17175166.490931474,18347434.134408273,10078092.893655006
3,firm,1174991.5211836295,258661.77620345668,357466.8473437482,469287.49271682516,298899.6834982733
4,agent,31929704.589712027,3913733.9821889563,7136516.902428273,10723849.22600247,8331277.680368456
4,firm,773679.8225581517,181498.31584497343,252789.38921776754,368382.74644718727,221174.29220067817
5,agent,43520327.49171513,640568.4465356683,9416616.047609556,17737473.71496207,15815520.339282932
5,firm,541088.5132305577,203635.81851673848,507591.5645301145,415148.68434505415,150009.1494265984
6,agent,79714468.16777241,305799.62112987705,18003708.532225158,22847991.843976427,22299269.277507387
6,firm,764779.896932544,48572.95836118118,253070.8293410595,297405.749809214,229020.84821968875
7,agent,28414295.81188988,1893424.517304693,15472850.914247878,14001576.494174164,9616670.01026518
7,firm,333668.27510344563,60436.72210715123,164598.6644799925,179778.99967490733,94451.4583430053
8,agent,18742612.990434196,1470167.800667063,11695202.53020743,10977821.25616535,6079039.145535097
8,firm,514756.56063145853,54721.04720241276,153992.93099830183,218079.32493650136,167255.67831990367
9,agent,20678267.270489167,653443.7142400855,5556638.401078116,7190344.329200101,5274103.70016763
9,firm,332959.2550398722,134153.2321776899,190680.13952610252,198425.38371079296,64954.51146787946
10,agent,33832969.063877545,1366647.3649848446,9277314.007680748,11552070.53840304,10899075.016387966
10,firm,719167.0271589535,46806.16071532402,151108.426751623,234364.2699876098,235700.95609944695
11,agent,55064505.14356758,3780099.543613257,13569864.406106228,18751574.73924032,15285962.885809189
11,firm,964400.3496588934,272100.55495909986,393365.2688931852,541200.9802055967,253839.5112234897
12,agent,40964367.682220705,2654956.928353814,12764930.965338338,14809923.083408277,10730876.90179597
12,firm,502506.10974004224,32321.774936123285,232329.35318442748,235152.4026075093,138591.57078967604
13,agent,13391118.522997811,353213.5870951013,7369810.91903555,6835515.897450499,4570422.226722831
13,firm,373122.64509399224,36968.13097858797,227459.57600171675,194642.46786486733,115188.69626579728
14,agent,34747803.04663475,1609608.3419984987,6178588.54689577,10395909.127262894,9883798.482154762
14,firm,513064.1903480527,69395.04853781144,77025.34571635246,159834.68253390485,149635.86069861814
15,agent,39165685.09572914,3591606.4988429765,14491737.25487002,18138052.05916467,12085007.505703583
15,firm,1299754.0121748853,33483.41242417164,279167.2455019942,354676.80931154237,345381.78839878563
16,agent,70646603.14657047,2909252.766799057,15606419.806014273,18793166.448521707,18189835.790721655
16,firm,307686.9075245895,5886.021952871164,143339.93876426315,133898.65250273622,89196.21978896408
17,agent,86875323.14754297,2354768.296731003,11469208.003609367,22100290.542125862,25035513.069937266
17,firm,1687917.7540292658,193776.9939163518,512556.8223105152,641884.8741437107,507803.26136125275
18,agent,19635579.08922526,4250409.320003124,7405557.690743407,10000621.65060995,5532785.022292575
18,firm,206033.37586667552,81531.97266991332,178713.46639653126,158887.334221246,48213.918015238
19,agent,34007086.15364936,2718666.9414428333,12145709.80620734,15428133.88907077,9598272.997958565
19,firm,507220.8811224229,202346.42610865107,244587.71119563712,314350.47527119785,123718.99374145457
20,agent,33942633.25013463,2307548.3045828785,15294031.039777223,17111698.757142507,9605404.954297137
20,firm,595646.7949807838,180466.25936546174,308374.6797815915,349660.6832072396,165734.6592646146
21,agent,26937427.833552264,8209379.621222784,17341988.75889344,18524783.337969568,5492743.936733549
21,firm,1098941.4020666769,302992.06297211256,316459.03364180273,577499.1584386457,338836.0014165173
22,agent,20362865.123139393,269652.557545234,9584882.083639141,10120388.896057844,6685892.41478226
22,firm,611294.7477332817,133574.04774215218,238360.72387929467,326915.7514688097,203874.90942350117
23,agent,35911526.9266099,1028594.4651115936,9365091.431371033,14503185.631401334,12107328.84267621
23,firm,519168.28420791985,162555.060959432,481069.6382269651,384839.7347831079,158006.11843384005
24,agent,32951560.561912145,2234334.437494831,15148957.310164273,14227761.288764175,8475418.061758861
24,firm,703559.760327914,141100.77695654499,453081.15889771224,424931.2616014805,192537.74599572067
25,agent,45380303.863590896,4896287.849691382,17871591.031739786,18611094.872584768,12047325.492521891
25,firm,738350.4207212685,11264.367788962876,74187.82730608479,274102.5732829675,267256.45752472203
26,agent,36580512.394707486,1651445.651740581,11827753.355589155,14191137.97969449,11816637.89166801
26,firm,396439.0915723849,5146.4763810383565,10292.952762076713,115179.53224278051,141508.8583896553
27,agent,29584838.057857398,5768724.468530689,12693238.795543117,14930435.705424542,7907895.0879990505
27,firm,1678445.147879203,115764.60132119834,203923.11756218394,665243.7879225711,654605.6067031801
28,agent,37230710.381314956,463754.1786189965,6989232.96774493,10640196.975569736,11127170.081386779
28,firm,453091.3771486252,88413.79430598325,201187.32082982443,235969.95327856432,136649.26139885967
29,agent,27405960.675788324,4732569.173356892,14469544.782027358,15251713.503017416,7725506.123404254
29,firm,552143.391004272,134648.6361935583,438241.02693343326,382877.3066614205,141265.53377196312
30,agent,34838059.27499625,1263118.9057170853,20211236.214043252,17341124.041692056,11099162.260331761
30,firm,928030.3528594088,137898.9896166086,208901.22157965915,369738.6498884512,295147.51836324163
31,agent,105433156.28496192,4292477.289525793,21803618.930449985,28170503.364408158,28765392.429819364
31,firm,1126727.6810748056,137472.15334771838,575064.7140433451,642643.5754967482,311267.60425901576
32,agent,17411758.983745296,744776.7586172102,4870717.914800311,7312553.6394070145,5647996.628194066
32,firm,255045.4251545522,23046.31559674631,168894.0427338104,165057.65779252056,78614.03427650215
33,agent,35378061.32483086,648632.6019553889,16679479.266118508,15172122.490023967,10280394.004785987
33,firm,878106.8416463211,152496.47741084662,334780.1451911116,433308.5826491007,256793.688887375
34,agent,22643657.492479455,1600977.962826572,7156468.621635998,9191395.21623805,6723799.7165190065
34,firm,768925.0322631894,93599.53507128615,263920.5781843284,325697.1699111912,212310.88369996357
35,agent,55088612.58114669,1964711.7501407904,7524257.006178602,15594659.168613806,16383431.320226986
35,firm,703674.6342499902,133832.4914986625,309995.4444634099,364374.5036688681,237709.73880642446
36,agent,17626835.3295981,1608802.8602390466,9508484.675963432,10652836.317819316,5091417.174297928
36,firm,914791.1139900396,324820.36689133896,493085.88763319724,590229.9579378716,236311.8063357175
37,agent,41346164.03257046,384210.8060192008,7919038.959789673,11175267.967371017,11202000.873660702
37,firm,277986.56570781517,101800.83973072068,124922.04709250723,156400.1690075695,62868.641590971885
38,agent,21770653.64742956,165318.76080444548,6831686.029573789,8517816.380555991,6676185.296641623
38,firm,517319.16126560536,37631.025420547485,280947.4064682478,243451.1095520639,167712.9473570085
39,agent,42839081.386670254,3188235.6544996877,15433930.141080864,18161993.671135847,13036788.95005557
39,firm,884774.7438006612,121874.89179502337,563288.1496010327,533306.4836994375,305724.10067523376
40,agent,38681829.29922638,1967792.9414142584,7801284.5843083,10867822.953024171,10415392.725728001
40,firm,576254.8085407701,68155.58010885003,275720.59189290233,264592.85221519554,157278.74448363046
41,agent,32887783.233481463,6237558.365735248,17114871.310332406,16893388.800440036,8918458.740902683
41,firm,951423.8267315665,91899.24960518956,430065.3504180463,470507.7457885059,322872.50459083886
42,agent,43449876.15297936,2931503.0814057994,18414790.32481847,19215497.107950963,12733772.585979257
42,firm,880711.3614987533,105158.29723041506,165488.90268713696,357766.7769419681,323261.338241088
43,agent,21240415.715418298,2487672.054016897,5689453.725138009,7339754.973523189,5282356.173765472
43,firm,458407.0012461642,173127.18374037696,361558.13248629594,329192.83376211347,111276.39580414166
44,agent,45761116.99402792,2062393.2563898782,15647988.730009533,18170968.740511302,13650811.796447773
44,firm,589570.2838152782,253647.08350488823,441104.42342664546,431356.55354336434,144711.7815468959
45,agent,30467791.627762895,524503.7762263614,9270619.498059664,13215946.220609311,10158914.115376325
45,firm,536169.7131364314,229333.3717368784,255122.32218665245,305910.41513237683,116635.7171424538
46,agent,24158142.41471026,4038335.168526186,12172973.352264445,13852815.651210165,7869088.524208001
46,firm,914406.0865524858,10835.687951604572,28925.316473940387,245773.1018629928,386106.0672685758
47,agent,92029552.74080245,4127567.852192603,10056612.995137947,17269757.056127615,25172184.5824769
47,firm,729863.4083233412,10018.083224226555,110564.77603952098,271944.6144785192,245539.04060500304
48,agent,28274607.855418537,1655848.0712195132,6949920.878889775,9502860.762024885,8283011.550588979
48,firm,301121.0456206268,32014.578319776952,117169.21327910782,155527.11651000715,112523.80588272568
49,agent,37134726.45180665,1364975.1438368822,10704800.706848584,13036378.009601768,10517990.395849995
49,firm,784449.9211227635,130536.16978980153,467679.3598546616,430420.93295240245,239447.77736263213
50,agent,16268182.369913738,2610505.764409848,8474859.189283581,8660001.21405248,4233154.248357343
50,firm,590504.113590461,58489.77095026933,158109.87698072323,304543.1091018341,230552.56122952965
51,agent,52943991.98499952,1955116.6715637217,9306652.944140919,13806291.714177579,14125128.193969928
51,firm,608067.772064368,310101.88462210214,384095.8138433214,450735.34146798553,130582.23343710459
52,agent,14373272.143341467,1833131.0518868156,6898813.66747625,7582580.723090681,4468127.597898344
52,firm,321670.0086835004,27577.62165588235,62444.47611971949,121152.70445916148,108450.60864753959
53,agent,24102052.259017617,878129.5522689698,7383255.63495632,11275051.989094244,9234595.156107774
53,firm,472026.75513844925,51805.58029111624,215628.64671459852,211726.0190235856,144555.6591461546
54,agent,75134571.07083026,1623867.8454551948,14263801.322787825,18823667.124744195,19625191.546807572
54,firm,692698.6641488986,65994.59973120845,438652.4454266378,393143.8791297604,260979.97374254736
55,agent,23104017.829093993,1215748.393552079,14234457.730359644,12843752.001572598,7065982.142434468
55,firm,975818.0837578471,7966.381600755172,64252.37953804023,205854.39109201747,285435.04829082405
56,agent,59068599.723816544,4377132.157978359,11812802.452687707,17692191.228761997,16553728.154680418
56,firm,427538.0488477843,27572.83884212248,180065.62724269822,193763.9849706578,117275.65646061568
57,agent,61976539.22003614,2276953.2731471183,16013135.874005515,17404746.55420382,16321759.139675925
57,firm,975133.458153019,196082.2854802837,455156.77831080963,520382.32506373053,296947.199139239
58,agent,21318536.391324315,5414900.980030626,11160110.070411805,12471260.397869458,5417366.701609765
58,firm,930642.7502484085,345538.9906207668,403332.21065094846,509495.2690390976,217358.88586999092
59,agent,38651775.48064627,4235107.926719392,16701364.817994535,20711804.839291308,13367298.40277661
59,firm,2214791.6856085192,377860.14502705965,599563.478210442,863886.4986929039,680488.520790229
