iteration,type,id,money
1,agent,G0,3800000.00
1,agent,G1,62257719.42
1,agent,G2,5400000.00
1,agent,G3,24440000.00
1,agent,G4,46440000.00
1,agent,G5,43081171.42
1,agent,G6,27740000.00
1,agent,G7,9790000.00
1,agent,G8,18090000.00
1,agent,G9,8550000.00
1,firm,F0,13000000.00
1,firm,F1,37000000.00
1,firm,F2,99832561.16
1,firm,F3,38000000.00
1,firm,F4,79058548.00
1,firm,F5,77000000.00
1,firm,F6,34000000.00
1,firm,F7,56000000.00
1,firm,F8,106000000.00
10,agent,G0,19870357.45
10,agent,G1,111967718.49
10,agent,G2,7872332.80
10,agent,G3,39636345.20
10,agent,G4,27009465.74
10,agent,G5,-3651677.09
10,agent,G6,39596705.69
10,agent,G7,31874873.05
10,agent,G8,17231155.44
10,agent,G9,6842476.74
10,firm,F0,107339981.15
10,firm,F1,132862279.95
10,firm,F2,80923417.89
10,firm,F3,7417392.75
10,firm,F4,7760301.28
10,firm,F5,7417392.75
10,firm,F6,19055521.58
10,firm,F7,28181982.85
10,firm,F8,48113563.65
10,firm,F9,48113563.65
20,agent,G0,7452394.63
20,agent,G1,94138747.85
20,agent,G2,3978198.69
20,agent,G3,11891283.49
20,agent,G4,42472747.65
20,agent,G5,17811951.04
20,agent,G6,-3220406.69
20,agent,G7,36988408.44
20,agent,G8,7500005.48
20,agent,G9,10964229.68
20,firm,F0,9138658.03
20,firm,F1,19055521.58
20,firm,F2,49886132.87
20,firm,F3,40162661.73
20,firm,F4,135225576.34
20,firm,F5,53424292.47
20,firm,F6,24056781.83
20,firm,F7,20692943.58
20,firm,F8,15152815.70
20,firm,F9,77481074.30
20,firm,F10,21718168.96
20,firm,F11,21718168.96
30,agent,G0,4024380.04
30,agent,G1,57230185.49
30,agent,G2,3836813.07
30,agent,G3,32614538.02
30,agent,G4,9448668.38
30,agent,G5,16941560.54
30,agent,G6,24645830.20
30,agent,G7,22366696.18
30,agent,G8,9738414.32
30,agent,G9,31716587.59
30,firm,F0,20692943.58
30,firm,F1,73008106.30
30,firm,F2,23454639.21
30,firm,F3,59040083.76
30,firm,F4,25817827.19
30,firm,F5,123865520.35
30,firm,F6,26712146.23
30,firm,F7,31831978.00
30,firm,F8,29305430.99
