run,type,max,min,median,mean,stddev
0,agent,-5817.227565570567,-38354.68377285218,-25330.39729365799,-22504.449816479413,10561.948867362215
0,firm,2088953.3384575304,-66.59310462225957,6783.560605929244,198435.7645892306,429019.9183333168
1,agent,-10458.511699087805,-41469.73156578223,-22050.546039603956,-22685.208448468806,7883.221172428362
1,firm,150952.30751581638,2400.6946586640015,14194.694305675164,29375.12915699263,39314.83187118088
2,agent,363474.2213947296,-74655.82158857386,-4502.83863504655,67350.66762603642,132278.65175086737
2,firm,2949230.521135453,6230.830706880498,306643.40720197844,505457.0544910442,684851.4868712242
3,agent,76423.2446596064,-16705.68928707094,31223.01655126622,26010.476779194367,30876.551005929843
3,firm,84873.61548014161,471.89448784835093,10791.75472589311,19172.617024981635,23524.300523268183
4,agent,172041.29284954106,12479.103369422925,99302.65956699428,95883.91763819274,47570.74971689712
4,firm,26565.334920506044,674.4614843577722,5313.605591403103,7937.446663725995,7075.298806584746
5,agent,-6471.9672619192825,-21512.61172229419,-9833.55253472862,-11662.420142659535,4491.450169089963
5,firm,20575.015980787197,3147.851772603119,6489.48273307805,8599.720266113198,5920.736390162301
6,agent,15106.877379184265,2215.499012751812,8457.04450064501,9041.086190346035,3685.187992195285
6,firm,2593.838913503184,311.45106302740646,1550.9393643322765,1352.1449011501857,911.9388547254584
7,agent,-16554.33936471701,-61965.992830846175,-25536.558476754763,-29072.80426373002,12268.001579891396
7,firm,7878725.055736067,687.0560274678743,129614.60246889821,795486.5336630852,1606358.3892795085
8,agent,-96626.91006482918,-440638.00575345743,-162981.37466416333,-186229.99284670528,95935.62482845808
8,firm,68817.27680804684,-4289.596322739985,26421.401565637017,26381.97946061636,22214.241562507643
9,agent,-20269.232064299747,-74053.67784625165,-45062.624342695955,-45112.16134183791,17556.355414018843
9,firm,11419337.954279091,2301.378181502555,591254.4077517069,1700882.0413034032,2434518.270635631
10,agent,60714.979843152134,10505.461095168554,30326.779357064435,32970.870404585046,13453.665842148393
10,firm,2249.395952635967,511.26887066227243,1235.6179475328024,1398.5164495037104,660.5201222207919
