iteration,type,id,money
1,agent,G0,9110729.24
1,agent,G1,870000.00
1,agent,G2,11880000.00
1,agent,G3,34650000.00
1,agent,G4,14350000.00
1,agent,G5,9540937.00
1,agent,G6,980000.00
1,agent,G7,9338729.24
1,agent,G8,1950000.00
1,agent,G9,42480000.00
1,firm,F0,2000000.00
1,firm,F1,19000000.00
1,firm,F2,74570541.53
1,firm,F3,45000000.00
1,firm,F4,88000000.00
1,firm,F5,45000000.00
1,firm,F6,9000000.00
1,firm,F7,83000000.00
1,firm,F8,80859063.00
1,firm,F9,25500000.00
1,firm,F10,25500000.00
2,agent,G0,9110729.24
2,agent,G1,870000.00
2,agent,G2,11880000.00
2,agent,G3,34650000.00
2,agent,G4,14350000.00
2,agent,G5,11354302.45
2,agent,G6,980000.00
2,agent,G7,9338729.24
2,agent,G8,1134330.45
2,agent,G9,42480000.00
2,firm,F0,2071339.10
2,firm,F1,19000000.00
2,firm,F2,74570541.53
2,firm,F3,43930965.00
2,firm,F4,45000000.00
2,firm,F5,9000000.00
2,firm,F6,80859063.00
2,firm,F7,25500000.00
2,firm,F8,25500000.00
2,firm,F9,171000000.00
3,agent,G0,25364027.77
3,agent,G1,870000.00
3,agent,G2,11915363.00
3,agent,G3,34650000.00
3,agent,G4,14350000.00
3,agent,G5,11354302.45
3,agent,G6,980000.00
3,agent,G7,9338729.24
3,agent,G8,1134330.45
3,agent,G9,24749298.54
3,firm,F0,3548742.02
3,firm,F1,19000000.00
3,firm,F2,74570541.53
3,firm,F3,43930965.00
3,firm,F4,8964637.00
3,firm,F5,80859063.00
3,firm,F6,25500000.00
3,firm,F7,25500000.00
3,firm,F8,171000000.00
3,firm,F9,22500000.00
3,firm,F10,22500000.00
4,agent,G0,26365425.77
4,agent,G1,870000.00
4,agent,G2,11915363.00
4,agent,G3,34650000.00
4,agent,G4,8364150.39
4,agent,G5,11354302.45
4,agent,G6,980000.00
4,agent,G7,9338729.24
4,agent,G8,1134330.45
4,agent,G9,30243448.93
4,firm,F0,3548742.02
4,firm,F1,19000000.00
4,firm,F2,74570541.53
4,firm,F3,43930965.00
4,firm,F4,8964637.00
4,firm,F5,79857665.00
4,firm,F6,25500000.00
4,firm,F7,171000000.00
4,firm,F8,22500000.00
4,firm,F9,22991699.22
4,firm,F10,12750000.00
4,firm,F11,12750000.00
5,agent,G0,26365425.77
5,agent,G1,870000.00
5,agent,G2,11915363.00
5,agent,G3,34650000.00
5,agent,G4,12542578.39
5,agent,G5,11354302.45
5,agent,G6,1412680.41
5,agent,G7,9338729.24
5,agent,G8,659546.50
5,agent,G9,30243448.93
5,firm,F0,3590845.57
5,firm,F1,74570541.53
5,firm,F2,43930965.00
5,firm,F3,8964637.00
5,firm,F4,25500000.00
5,firm,F5,166821572.00
5,firm,F6,22500000.00
5,firm,F7,22991699.22
5,firm,F8,12750000.00
5,firm,F9,12750000.00
5,firm,F10,98857665.00
6,agent,G0,27507567.77
6,agent,G1,870000.00
6,agent,G2,6866363.07
6,agent,G3,34650000.00
6,agent,G4,12542578.39
6,agent,G5,14559743.48
6,agent,G6,1412680.41
6,agent,G7,9338729.24
6,agent,G8,659546.50
6,agent,G9,30243448.93
6,firm,F0,3590845.57
6,firm,F1,74570541.53
6,firm,F2,43929760.00
6,firm,F3,8964637.00
6,firm,F4,25500000.00
6,firm,F5,166821572.00
6,firm,F6,22500000.00
6,firm,F7,22991699.22
6,firm,F8,13315709.46
6,firm,F9,98857665.00
6,firm,F10,6375000.00
6,firm,F11,6375000.00
7,agent,G0,27507567.77
7,agent,G1,870000.00
7,agent,G2,6866363.07
7,agent,G3,34650000.00
7,agent,G4,12041167.03
7,agent,G5,14005384.74
7,agent,G6,1412680.41
7,agent,G7,9338729.24
7,agent,G8,659546.50
7,agent,G9,28792325.93
7,firm,F0,3590845.57
7,firm,F1,74570541.53
7,firm,F2,43929760.00
7,firm,F3,167322983.36
7,firm,F4,22500000.00
7,firm,F5,22991699.22
7,firm,F6,13315709.46
7,firm,F7,100308788.00
7,firm,F8,6375000.00
7,firm,F9,6375000.00
7,firm,F10,35018995.74
8,agent,G0,27507567.77
8,agent,G1,870000.00
8,agent,G2,6862119.51
8,agent,G3,34650000.00
8,agent,G4,12041167.03
8,agent,G5,14005384.74
8,agent,G6,1412680.41
8,agent,G7,9338729.24
8,agent,G8,760553.50
