run,type,max,min,median,mean,stddev
0,agent,-128595.6176683131,-637661.4418646278,-274446.63124134263,-302770.27750631876,132718.9023435343
0,firm,109240899.3416248,4774182.49133568,19132591.03570458,29339000.878337547,31556355.81855412
1,agent,-420418.49077479495,-1213179.6669865362,-862594.4412982634,-833679.1942993597,230120.23662722443
1,firm,58903814.068304606,-4266.260704096847,2832856.8758879947,9516479.517936036,14163174.520275133
2,agent,-513036.0828454337,-1480554.784171589,-900598.9785898719,-964846.5122155787,324777.1003382489
2,firm,76985123.17450859,7831012.437490557,32278001.607005306,35143781.76912843,24355268.74095608
3,agent,-743586.9297283596,-1151770.7903329143,-984524.104854058,-976652.4565330796,122597.94653942966
3,firm,255654834.98507664,255727.28621303462,7223010.78635812,34576971.751179285,69818035.41250853
4,agent,-73691.26865730104,-187979.7836395271,-106392.9708513593,-116764.9371683748,34521.62468881132
4,firm,96387589.32960041,-2274.7878536017715,10005633.753231408,16298287.554506814,20136805.4003804
5,agent,-992308.7885060143,-1949893.530645472,-1363205.1267846487,-1418179.8831941732,294077.738933074
5,firm,82821644.49020098,23180.754977201417,2588184.8281291025,7945768.383769765,16288847.898548013
6,agent,-591316.6351703234,-1673688.1381638946,-849597.0673003165,-986867.1195715095,322691.7281511824
6,firm,213411916.6993755,54433.49897982007,4153879.0738279778,13589856.070121596,32226301.057438906
7,agent,-197395.26773942416,-1735749.6344941258,-930244.3706006347,-929375.7820907217,462087.8092734231
7,firm,155479934.89491,52409.21804186337,3705363.6767208828,15147431.381450176,28930826.322688796
8,agent,-88788.73877216346,-290638.6943260502,-171205.71149038526,-190514.79760471286,65631.74817611864
8,firm,120160631.7317741,1181753.8236960748,6793906.606865028,17086350.145232573,25543661.973702043
9,agent,-157683.77754523946,-528707.9793750512,-275256.37885316345,-293330.23172245355,112439.24781869711
9,firm,131591655.08597992,2820543.133384346,25045496.856794883,36936035.91277792,34286154.8915303
10,agent,-91271.38911342683,-359680.0375269512,-233599.52124627266,-230038.62407939965,64232.10987057524
10,firm,49049869.54781272,122337.24407621822,2931170.949138236,5970943.56728476,8983967.710411148
11,agent,-156481.2307187806,-397579.0358678583,-273883.4372933486,-275818.23801227956,90226.88259081468
11,firm,168105090.41075495,23706.63455377398,4034732.3554213615,14577068.399503063,29061520.71310051
12,agent,-366459.77031235123,-2388555.5370708164,-1318831.392417756,-1322792.2989961943,549744.8144774185
12,firm,55326946.45570612,-120614.76465684808,1910767.601799333,7625829.840896947,11626726.019658303
13,agent,-42362.09044066592,-142761.6086887167,-72463.98531132404,-84495.97639830886,31253.39717961291
13,firm,208357614.55716476,8784.1976125256,2005418.6562128498,33278529.90914042,71803898.76308721
14,agent,-826619.7687825316,-1878959.6481706982,-1083468.768270958,-1258451.7246397182,338125.0442496164
14,firm,164339441.5455445,208113.90981894959,4576703.506047947,16585429.834879905,33501265.850717306
15,agent,-458578.60221207805,-1187323.332190067,-698418.5082587083,-742768.7158247645,233015.495535039
15,firm,78520501.29931855,1658446.038315231,12978411.22309584,23456144.734644607,24118525.61147774
16,agent,-255900.15067616935,-739186.6168159877,-421289.8036473176,-445792.81010824535,142468.21462581187
16,firm,75725838.27970742,41945.42625778424,5802340.9340405995,14952844.818558598,21673555.47276989
17,agent,-1528601.052886633,-3141727.036109598,-1989959.9135467124,-2129711.3114826926,550786.7166156863
17,firm,429422290.09683573,203916.8029438071,7151420.109361913,44894166.019529745,121679895.61218783
18,agent,-81118.0407375509,-319180.99926814775,-184048.69101221906,-188481.55490726832,63298.95361720278
18,firm,190636651.14512104,34413.953401937935,2727131.5689510787,18760887.6941951,40611693.14447449
19,agent,-245227.02639126312,-985725.1448976499,-431665.11486442434,-511863.54309886537,212332.7970979669
19,firm,315073011.71841305,-26105.129969134294,21747019.888424624,86656066.28619775,117103580.20077392
20,agent,-97972.49040474523,-370418.1451762698,-221129.75601667815,-249849.16426548018,87170.1522809328
20,firm,79411440.73597804,555842.7609793454,7080155.323191222,16455105.70118486,18717733.884126958
21,agent,-127013.90422317116,-257155.90313381059,-168913.15908450622,-183197.22787979603,46791.71656540837
21,firm,46284630.27163776,40143.437270920884,5067485.733336698,10404572.866313301,12537977.375414893
22,agent,-633586.5039303815,-2580600.842649952,-1437898.3315712959,-1573663.8551575872,602442.0943810858
22,firm,91104780.96455063,90615.60818271175,1650200.2885579322,17174377.019633755,24107530.9059527
23,agent,-100323.29642669011,-250430.7467586037,-171069.83631463908,-170754.73127018232,44964.67527142099
23,firm,81445054.8805171,-3366.046309946772,1547993.4333278122,8025643.966254037,15683609.866054025
24,agent,-1261772.289235723,-3086083.6079347087,-1510311.517782699,-1683062.7159304167,519126.87421188346
24,firm,144658297.0017606,296070.5636664008,8030435.664469393,18896850.95329467,32500618.723200977
25,agent,-103249.46542029604,-448092.8104724934,-217114.44627951804,-239863.7417129756,90498.68381467146
25,firm,281586546.6022943,1272388.0628309478,45695603.07533017,77820219.96952163,96166709.9555811
26,agent,-369820.2806601576,-1576053.9291633957,-776985.9834579257,-878102.3405046763,331394.95518683566
26,firm,26049773.725278363,-43034.1542793063,2298982.4025152586,5503383.338558591,6925017.5730093
27,agent,-161535.25054806747,-518270.2973225993,-262643.5007086607,-284647.76667164534,104054.03248736289
27,firm,103183013.2087721,280264.7982824219,12457880.886385687,23907985.795557212,30879575.33659071
28,agent,-140272.74594375928,-563565.9960040823,-371993.7848444624,-363554.7491808461,127979.21158498191
28,firm,66475469.95007003,-5432.594961123226,5681505.584791182,11147564.099804964,14287080.84923504
29,agent,-1424219.5114866418,-3254027.2616115026,-2458877.0778136877,-2425120.5474732677,573653.9028709296
29,firm,69455970.61760835,-180967.62263928595,5056238.067897318,16121427.154989297,19336577.031081125
30,agent,-923026.145008771,-2755268.3341057533,-1738491.136319586,-1736337.0650510062,604663.3310887858
30,firm,211174115.22692296,-18381.639532382218,343675.24976908736,20233314.541326527,59050791.35201689
31,agent,-18797.697965417436,-33948.95334282558,-24309.03857763388,-26165.134993149804,5011.992882555939
31,firm,133666025.79395813,46596.41328350442,1628392.9216976431,10076670.32874829,22759102.950860668
32,agent,-274404.4661726661,-658659.9130152025,-438918.6929997976,-445176.541101655,122900.49411234859
32,firm,93521747.2411778,1756213.5550276097,22366415.384260055,25224246.675688528,23829069.55762969
33,agent,-426434.7099915457,-952602.2935874746,-683420.5405795756,-694438.5273127329,163256.8921724572
33,firm,358516605.79241514,1574293.9257160479,7582947.921358016,65856525.84552121,130946317.71422361
34,agent,-305234.7802586802,-990402.5782582596,-537734.5794492487,-568456.4887830965,193459.97757984517
34,firm,121515966.71676645,2966190.6574917966,29876436.47309716,44060788.24198793,38684058.50268673
35,agent,-427846.9778929425,-1488098.112122197,-729508.1675022007,-787647.3050723685,279083.3304060507
35,firm,22277572.6469757,117049.7921950544,1641468.3683315087,4303571.204558615,5969519.270130295
36,agent,-1107893.541346027,-2226465.6703571044,-1598922.9452213133,-1644684.1575657926,352119.47743397346
36,firm,75032902.90093532,-140049.7054031344,2083815.144440804,7968199.245502588,12451646.742486555
37,agent,-29157.82520304917,-134836.8227484445,-101560.42104887002,-99581.14198655238,26798.871683330122
37,firm,82176036.8483158,689606.3471557202,10016067.754048314,19513460.059993897,24770745.318286512
38,agent,-1678777.3118826242,-3767362.2919786563,-2492898.274347117,-2570157.2037670612,704983.7618073287
38,firm,110028897.05316137,-176814.3125285271,1638061.804425296,10455164.108441763,21257460.752697494
39,agent,-332024.8837768801,-854163.2561956745,-511714.5552062656,-546772.9445922704,147720.87910998962
39,firm,61667206.955537856,6031.91906184401,1271168.8181432064,5330722.515485439,10154895.334995521
40,agent,-50740.07660543841,-126911.21369009897,-76039.58712089904,-76063.63532833804,23229.963524283474
40,firm,117173764.9127456,118207.57553543417,4109984.84925473,16272929.18522388,28470936.231159266
41,agent,-190519.39449880147,-893014.3392711608,-648699.3374532715,-609155.7664790661,228255.28067701877
41,firm,116070436.43199143,357944.733050027,27997529.96003792,31380700.706479043,33237021.416738886
42,agent,-325779.7461979771,-784495.3687967551,-500612.3233034257,-514898.6776026869,130940.52930225221
42,firm,65093126.652672194,-34608.15762227618,622096.0702004691,3010546.072387314,7109758.98315477
43,agent,-697893.6708989539,-1869749.319015765,-1197767.9780927943,-1131863.6803936083,350371.84741097374
43,firm,73607610.92767203,-64339.79348156818,2534510.540627979,8847128.732410822,15532219.440232709
44,agent,-588614.8419890701,-1772623.0327449879,-783526.6449887918,-915260.8039154563,338682.87560922466
44,firm,52256798.64135748,386615.1480136799,12937726.81379411,17370818.551779743,15702961.86672524
45,agent,-76804.07256591025,-162737.33117709938,-106427.5724901831,-110838.40437730463,24793.660291158372
45,firm,77728330.13111874,2062.332189131923,870835.1322505001,4914824.560058954,11250031.583601112
46,agent,-481092.73758412385,-1512440.848527903,-1006711.7901942055,-1053653.1643507185,365356.39294807304
46,firm,145893281.46438703,522496.59147668805,24122874.583082236,36962899.795292266,41187515.573436625
47,agent,-656524.4517257137,-1517203.5211391016,-958663.6644548662,-988288.1926276677,272651.1115178315
47,firm,115551339.50568798,-59905.45879683398,2540828.1637020037,10963603.916525532,21986493.40067846
48,agent,-104508.95471674252,-261886.82025577078,-208862.6676659854,-196379.50859440138,48845.59061050775
