iteration,type,id,money
1,agent,G0,190149.00
1,agent,G1,98900.00
1,agent,G2,273000.00
1,agent,G3,381800.00
1,agent,G4,144180.00
1,agent,G5,265600.00
1,agent,G6,874000.00
1,agent,G7,50400.00
1,agent,G8,174200.00
1,agent,G9,43920.00
1,firm,F0,54000000.00
1,firm,F1,64000000.00
1,firm,F2,42000000.00
1,firm,F3,49000000.00
1,firm,F4,98942151.00
1,firm,F5,29000000.00
1,firm,F6,24000000.00
1,firm,F7,10000000.00
1,firm,F8,21000000.00
1,firm,F9,20500000.00
1,firm,F10,20500000.00
2,agent,G0,190149.00
2,agent,G1,98900.00
2,agent,G2,273000.00
2,agent,G3,381800.00
2,agent,G4,144180.00
2,agent,G5,265600.00
2,agent,G6,874000.00
2,agent,G7,74586.00
2,agent,G8,174200.00
2,agent,G9,43920.00
2,firm,F0,54000000.00
2,firm,F1,64000000.00
2,firm,F2,42000000.00
2,firm,F3,49000000.00
2,firm,F4,98942151.00
2,firm,F5,29000000.00
2,firm,F6,24000000.00
2,firm,F7,21000000.00
2,firm,F8,20500000.00
2,firm,F9,30475814.00
3,agent,G0,190149.00
3,agent,G1,98900.00
3,agent,G2,273000.00
3,agent,G3,381800.00
3,agent,G4,144180.00
3,agent,G5,265600.00
3,agent,G6,1309368.00
3,agent,G7,74586.00
3,agent,G8,174200.00
3,agent,G9,43920.00
3,firm,F0,54000000.00
3,firm,F1,64000000.00
3,firm,F2,49000000.00
3,firm,F3,98942151.00
3,firm,F4,29000000.00
3,firm,F5,24000000.00
3,firm,F6,20564632.00
3,firm,F7,30475814.00
3,firm,F8,62500000.00
4,agent,G0,216709.00
4,agent,G1,98900.00
4,agent,G2,273000.00
4,agent,G3,381800.00
4,agent,G4,144180.00
4,agent,G5,301749.00
4,agent,G6,1309368.00
4,agent,G7,74586.00
4,agent,G8,174200.00
4,agent,G9,43920.00
4,firm,F0,54000000.00
4,firm,F1,64000000.00
4,firm,F2,48937291.00
4,firm,F3,98942151.00
4,firm,F4,29000000.00
4,firm,F5,20564632.00
4,firm,F6,30475814.00
4,firm,F7,62500000.00
4,firm,F8,12000000.00
4,firm,F9,12000000.00
5,agent,G0,216709.00
5,agent,G1,98900.00
5,agent,G2,273000.00
5,agent,G3,381800.00
5,agent,G4,144180.00
5,agent,G5,301749.00
5,agent,G6,1326788.00
5,agent,G7,94919.00
5,agent,G8,156780.00
5,agent,G9,43920.00
5,firm,F0,54000000.00
5,firm,F1,64000000.00
5,firm,F2,48937291.00
5,firm,F3,98921818.00
5,firm,F4,20564632.00
5,firm,F5,62500000.00
5,firm,F6,12000000.00
5,firm,F7,12000000.00
5,firm,F8,59475814.00
6,agent,G0,216709.00
6,agent,G1,138016.00
6,agent,G2,273000.00
6,agent,G3,912515.20
6,agent,G4,144180.00
6,agent,G5,301749.00
6,agent,G6,752536.00
6,agent,G7,-340449.00
6,agent,G8,156780.00
6,agent,G9,43920.00
6,firm,F0,54000000.00
6,firm,F1,63960884.00
6,firm,F2,20608168.80
6,firm,F3,62500000.00
6,firm,F4,12000000.00
6,firm,F5,12000000.00
6,firm,F6,59475814.00
6,firm,F7,148294477.00
7,agent,G0,308415.00
7,agent,G1,113830.00
7,agent,G2,273000.00
7,agent,G3,547509.12
7,agent,G4,144180.00
7,agent,G5,666755.08
7,agent,G6,752536.00
7,agent,G7,-342867.60
7,agent,G8,156780.00
7,agent,G9,43920.00
7,firm,F0,54000000.00
7,firm,F1,20608168.80
7,firm,F2,62408294.00
7,firm,F3,12000000.00
7,firm,F4,12000000.00
7,firm,F5,59475814.00
7,firm,F6,148294477.00
7,firm,F7,31992535.00
7,firm,F8,31992535.00
8,agent,G0,284229.00
8,agent,G1,113830.00
8,agent,G2,331148.00
8,agent,G3,547509.12
8,agent,G4,129762.00
8,agent,G5,666755.08
8,agent,G6,752536.00
8,agent,G7,-345286.20
8,agent,G8,171198.00
8,agent,G9,43920.00
8,firm,F0,54000000.00
8,firm,F1,20608168.80
8,firm,F2,62432480.00
8,firm,F3,12000000.00
8,firm,F4,12000000.00
8,firm,F5,59475814.00
8,firm,F6,148236329.00
8,firm,F7,31992535.00
8,firm,F8,15996267.50
8,firm,F9,15996267.50
9,agent,G0,284229.00
9,agent,G1,102447.00
9,agent,G2,342531.00
9,agent,G3,547509.12
9,agent,G4,129762.00
9,agent,G5,660484.18
9,agent,G6,752536.00
9,agent,G7,-407995.20
9,agent,G8,171198.00
9,agent,G9,62177.00
9,firm,F0,54000000.00
9,firm,F1,20608168.80
9,firm,F2,62414223.00
9,firm,F3,12000000.00
9,firm,F4,12000000.00
9,firm,F5,59475814.00
9,firm,F6,148236329.00
9,firm,F7,15996267.50
9,firm,F8,15996267.50
9,firm,F9,15996267.50
9,firm,F10,15996267.50
10,agent,G0,255806.10
10,agent,G1,102447.00
10,agent,G2,370953.90
10,agent,G3,547509.12
10,agent,G4,129762.00
10,agent,G5,642227.18
10,agent,G6,915041.00
10,agent,G7,-407995.20
10,agent,G8,171198.00
10,agent,G9,60351.30
10,firm,F0,54000000.00
10,firm,F1,12000000.00
10,firm,F2,12000000.00
10,firm,F3,59475814.00
10,firm,F4,148236329.00
10,firm,F5,15996267.50
10,firm,F6,15996267.50
10,firm,F7,15996267.50
10,firm,F8,15996267.50
10,firm,F9,82861712.50
11,agent,G0,255806.10
11,agent,G1,102447.00
11,agent,G2,352696.90
11,agent,G3,547509.12
11,agent,G4,116785.80
11,agent,G5,642227.18
11,agent,G6,1338469.20
11,agent,G7,-407995.20
11,agent,G8,171198.00
11,agent,G9,58525.60
11,firm,F0,54000000.00
11,firm,F1,12000000.00
11,firm,F2,12000000.00
11,firm,F3,59475814.00
11,firm,F4,148254586.00
11,firm,F5,15996267.50
11,firm,F6,15996267.50
11,firm,F7,15996267.50
11,firm,F8,82451260.50
11,firm,F9,7998133.75
11,firm,F10,7998133.75
12,agent,G0,255806.10
12,agent,G1,102447.00
12,agent,G2,311897.38
12,agent,G3,559794.12
12,agent,G4,116785.80
12,agent,G5,642227.18
12,agent,G6,1324819.20
12,agent,G7,-367195.68
12,agent,G8,171198.00
12,agent,G9,58525.60
12,firm,F0,12000000.00
12,firm,F1,12000000.00
12,firm,F2,59475814.00
12,firm,F3,148242301.00
12,firm,F4,15996267.50
12,firm,F5,15996267.50
12,firm,F6,82451260.50
12,firm,F7,7998133.75
12,firm,F8,7998133.75
12,firm,F9,69996267.50
13,agent,G0,211968.49
13,agent,G1,102447.00
13,agent,G2,445763.38
13,agent,G3,585374.73
13,agent,G4,116785.80
13,agent,G5,642227.18
13,agent,G6,1324819.20
13,agent,G7,-367195.68
13,agent,G8,171198.00
13,agent,G9,56699.90
13,firm,F0,12000000.00
13,firm,F1,59475814.00
13,firm,F2,148242301.00
13,firm,F3,15996267.50
13,firm,F4,15996267.50
13,firm,F5,82317394.50
13,firm,F6,7998133.75
13,firm,F7,69996267.50
13,firm,F8,19998133.75
14,agent,G0,211968.49
14,agent,G1,102447.00
14,agent,G2,445763.38
14,agent,G3,485889.73
14,agent,G4,116785.80
14,agent,G5,731763.68
14,agent,G6,1324819.20
14,agent,G7,-367195.68
14,agent,G8,171198.00
14,agent,G9,56699.90
14,firm,F0,12000000.00
14,firm,F1,59475814.00
14,firm,F2,148252249.50
14,firm,F3,15996267.50
14,firm,F4,15996267.50
14,firm,F5,82317394.50
14,firm,F6,19998133.75
14,firm,F7,77994401.25
15,agent,G0,211968.49
15,agent,G1,102447.00
15,agent,G2,432376.78
15,agent,G3,485889.73
15,agent,G4,116785.80
15,agent,G5,1261691.36
15,agent,G6,794891.52
15,agent,G7,-367195.68
15,agent,G8,171198.00
15,agent,G9,-65522.10
15,firm,F0,12000000.00
15,firm,F1,59475814.00
15,firm,F2,15996267.50
15,firm,F3,15996267.50
15,firm,F4,82330781.10
15,firm,F5,19998133.75
15,firm,F6,77982757.25
15,firm,F7,74126124.75
15,firm,F8,74126124.75
16,agent,G0,300900.49
16,agent,G1,102447.00
16,agent,G2,432376.78
16,agent,G3,485889.73
16,agent,G4,116785.80
16,agent,G5,1261691.36
16,agent,G6,794891.52
16,agent,G7,-330476.11
16,agent,G8,134478.43
16,agent,G9,-78330.50
16,firm,F0,12000000.00
16,firm,F1,59475814.00
16,firm,F2,15996267.50
16,firm,F3,15996267.50
16,firm,F4,82330781.10
16,firm,F5,77906633.65
16,firm,F6,74126124.75
16,firm,F7,74126124.75
16,firm,F8,9999066.88
