run,type,max,min,median,mean,stddev
0,agent,-6698.429132431527,-18365.294719106743,-12960.471981407612,-13064.171763233295,2913.436566087755
0,firm,44044037.309937775,852965.1540376028,26207023.932239898,22146355.705165327,15868649.52108638
1,agent,4008.1151002552224,-30214.351026897995,-7103.832810197854,-10302.696544006994,9417.918906306022
1,firm,33093328.387342453,136014.23314391158,1577430.9968974139,5907886.483565574,9306168.802716142
2,agent,-5016.96911713349,-16144.359016522965,-10643.053050671948,-10966.086662289517,3415.8295354966035
2,firm,21042304.37110928,8764.211202196631,1837157.9683657044,3341973.174741317,4420980.597600703
3,agent,11635.579989666126,-11944.881814917337,-2543.633156260437,-1968.5360456480612,6315.450427751064
3,firm,19523356.234389227,204.11655291261798,1005676.2211807438,4142042.8774413187,5897377.535151616
4,agent,-3532.2691408174137,-63005.77939888977,-17365.01923447312,-19873.075604536483,16127.063509240661
4,firm,28294707.379116103,2468.4347640296264,2233067.0341277425,6454545.304380963,8292868.306380103
5,agent,-11092.264322507643,-57483.923020685645,-17894.970975971355,-23236.696605021065,14025.866141810655
5,firm,27681765.529823065,45080.515297815175,3124648.241471875,4989059.592340474,6501843.118120357
6,agent,104985.36273405934,-104903.78019264675,-14619.313325042687,-11863.42142140451,50149.58849128176
6,firm,22357513.336881194,1296.298822631373,930147.9300801286,4143658.584377084,5419169.0698283035
7,agent,-7893.397120812578,-42728.880611069224,-21451.419530437688,-20820.3976346123,9213.856634052514
7,firm,31368549.96287359,55727.62000774528,5473288.06424968,8158395.245186084,9686404.59973186
8,agent,-20313.248935073978,-84756.0821327196,-49187.765622969964,-52517.36314225175,18106.756510653606
8,firm,32757804.12106493,148371.98559007372,1697002.3025720657,5785795.427017659,9986258.935340758
9,agent,125660.80281388905,-53955.09807038354,-7147.628122574046,1813.4248167567014,50895.086591924795
9,firm,31543139.11061381,110.42234765255803,487491.0037856741,3787900.5762741896,6956453.34407113
