iteration,type,id,money
1,agent,G0,41850000.00
1,agent,G1,14237440.98
1,agent,G2,49470000.00
1,agent,G3,17309207.68
1,agent,G4,12000000.00
1,agent,G5,22200000.00
1,agent,G6,37200000.00
1,agent,G7,32190000.00
1,agent,G8,22750000.00
1,agent,G9,43200000.00
1,firm,F0,61000000.00
1,firm,F1,50000000.00
1,firm,F2,25325584.64
1,firm,F3,41000000.00
1,firm,F4,91000000.00
1,firm,F5,18000000.00
1,firm,F6,70010695.70
1,firm,F7,89000000.00
1,firm,F8,63000000.00
1,firm,F9,10000000.00
2,agent,G0,41850000.00
2,agent,G1,14237440.98
2,agent,G2,49470000.00
2,agent,G3,17309207.68
2,agent,G4,12000000.00
2,agent,G5,35001905.01
2,agent,G6,37200000.00
2,agent,G7,19239905.01
2,agent,G8,22750000.00
2,agent,G9,49768799.89
2,firm,F0,61000000.00
2,firm,F1,50000000.00
2,firm,F2,25524395.75
2,firm,F3,41148189.99
2,firm,F4,91000000.00
2,firm,F5,18000000.00
2,firm,F6,70010695.70
2,firm,F7,89000000.00
2,firm,F8,63000000.00
2,firm,F9,10000000.00
3,agent,G0,41850000.00
3,agent,G1,17135257.55
3,agent,G2,49470000.00
3,agent,G3,17309207.68
3,agent,G4,12000000.00
3,agent,G5,35001905.01
3,agent,G6,37200000.00
3,agent,G7,11486411.84
3,agent,G8,30388430.84
3,agent,G9,49768799.89
3,firm,F0,61000000.00
3,firm,F1,50000000.00
3,firm,F2,25524395.75
3,firm,F3,41148189.99
3,firm,F4,91000000.00
3,firm,F5,18000000.00
3,firm,F6,70125758.03
3,firm,F7,89000000.00
3,firm,F8,63034435.44
3,firm,F9,10000000.00
4,agent,G0,41850000.00
4,agent,G1,17054163.72
4,agent,G2,49470000.00
4,agent,G3,17309207.68
4,agent,G4,12361054.27
4,agent,G5,35001905.01
4,agent,G6,37200000.00
4,agent,G7,11486411.84
4,agent,G8,30388430.84
4,agent,G9,49768799.89
4,firm,F0,61000000.00
4,firm,F1,50000000.00
4,firm,F2,25524395.75
4,firm,F3,41229283.81
4,firm,F4,91010793.73
4,firm,F5,18000000.00
4,firm,F6,70125758.03
4,firm,F7,89000000.00
4,firm,F8,63034435.44
4,firm,F9,10000000.00
5,agent,G0,41850000.00
5,agent,G1,17282205.32
5,agent,G2,49470000.00
5,agent,G3,17309207.68
5,agent,G4,12361054.27
5,agent,G5,35001905.01
5,agent,G6,37200000.00
5,agent,G7,31135891.88
5,agent,G8,30388430.84
5,agent,G9,29603240.02
5,firm,F0,61000000.00
5,firm,F1,50006571.40
5,firm,F2,25524395.75
5,firm,F3,41229283.81
5,firm,F4,91010793.73
5,firm,F5,18000000.00
5,firm,F6,70125758.03
5,firm,F7,89000000.00
5,firm,F8,63034435.44
5,firm,F9,10516079.82
6,agent,G0,44491710.47
6,agent,G1,17282205.32
6,agent,G2,61151349.89
6,agent,G3,17309207.68
6,agent,G4,11982836.63
6,agent,G5,35001905.01
6,agent,G6,37200000.00
6,agent,G7,31142261.53
6,agent,G8,30388430.84
6,agent,G9,17601997.89
6,firm,F0,61000000.00
6,firm,F1,50006571.40
6,firm,F2,25524395.75
6,firm,F3,41229283.81
6,firm,F4,91382641.73
6,firm,F5,18054038.53
6,firm,F6,70445650.27
6,firm,F7,89000000.00
6,firm,F8,63034435.44
6,firm,F9,10516079.82
7,agent,G0,43828781.47
7,agent,G1,17265276.26
7,agent,G2,61151349.89
7,agent,G3,19097790.39
7,agent,G4,11982836.63
7,agent,G5,35001905.01
7,agent,G6,37200000.00
7,agent,G7,31142261.53
7,agent,G8,18054852.15
7,agent,G9,29579163.88
7,firm,F0,61000000.00
7,firm,F1,50033292.75
7,firm,F2,25524395.75
7,firm,F3,41229283.81
7,firm,F4,91382641.73
7,firm,F5,18716967.53
7,firm,F6,70445650.27
7,firm,F7,89000000.00
7,firm,F8,63034435.44
7,firm,F9,10872492.53
8,agent,G0,43828781.47
8,agent,G1,17277213.79
8,agent,G2,61151349.89
8,agent,G3,19097790.39
8,agent,G4,12452320.04
8,agent,G5,35001905.01
8,agent,G6,36901229.05
8,agent,G7,31142261.53
8,agent,G8,18054852.15
8,agent,G9,29092039.88
8,firm,F0,61000000.00
8,firm,F1,50033292.75
8,firm,F2,26011519.75
8,firm,F3,41229283.81
8,firm,F4,91382641.73
8,firm,F5,19015738.48
8,firm,F6,70445650.27
8,firm,F7,89005703.06
8,firm,F8,63034435.44
8,firm,F9,10872492.53
9,agent,G0,43828781.47
9,agent,G1,28571912.21
9,agent,G2,61151349.89
9,agent,G3,19097790.39
9,agent,G4,16025087.66
9,agent,G5,35001905.01
9,agent,G6,36901229.05
9,agent,G7,31142261.53
9,agent,G8,18057457.92
9,agent,G9,17350325.17
9,firm,F0,61000000.00
9,firm,F1,50109667.14
9,firm,F2,26011519.75
9,firm,F3,41439081.33
9,firm,F4,91382641.73
9,firm,F5,19015738.48
9,firm,F6,70445650.27
9,firm,F7,89005703.06
9,firm,F8,63269048.44
9,firm,F9,10872492.53
10,agent,G0,43828781.47
10,agent,G1,28571912.21
10,agent,G2,73441569.06
10,agent,G3,19097790.39
10,agent,G4,12337084.15
10,agent,G5,35943739.35
10,agent,G6,36901229.05
10,agent,G7,18518671.48
10,agent,G8,18057457.92
10,agent,G9,17350325.17
10,firm,F0,61000000.00
10,firm,F1,50109667.14
10,firm,F2,26011519.75
10,firm,F3,41439081.33
10,firm,F4,91382641.73
10,firm,F5,19015738.48
10,firm,F6,70445650.27
10,firm,F7,92654845.06
10,firm,F8,63602419.31
10,firm,F9,10881959.69
11,agent,G0,43828781.47
11,agent,G1,28571912.21
11,agent,G2,73441569.06
11,agent,G3,33306109.20
11,agent,G4,12260938.48
11,agent,G5,21412295.81
11,agent,G6,36901229.05
11,agent,G7,18518671.48
11,agent,G8,17687781.53
11,agent,G9,17350325.17
11,firm,F0,61000000.00
11,firm,F1,50508937.54
11,firm,F2,29729715.14
11,firm,F3,41439081.33
11,firm,F4,91382641.73
11,firm,F5,19015738.48
11,firm,F6,70445650.27
11,firm,F7,92654845.06
11,firm,F8,63602419.31
11,firm,F9,10881959.69
12,agent,G0,43828781.47
12,agent,G1,26794135.98
12,agent,G2,73517321.61
12,agent,G3,33285510.42
12,agent,G4,12260938.48
12,agent,G5,21412295.81
12,agent,G6,36901229.05
12,agent,G7,18518671.48
12,agent,G8,17687781.53
12,agent,G9,17350325.17
12,firm,F0,61000000.00
12,firm,F1,50508937.54
12,firm,F2,29729715.14
12,firm,F3,41439081.33
12,firm,F4,91382641.73
12,firm,F5,19015738.48
12,firm,F6,70985655.48
12,firm,F7,92654845.06
12,firm,F8,65407509.55
12,firm,F9,10881959.69
13,agent,G0,43828781.47
13,agent,G1,26794135.98
13,agent,G2,73517321.61
13,agent,G3,19813312.05
13,agent,G4,28491680.04
13,agent,G5,17800435.51
13,agent,G6,36901229.05
13,agent,G7,18518671.48
13,agent,G8,17687781.53
13,agent,G9,17350325.17
13,firm,F0,61000000.00
13,firm,F1,50508937.54
13,firm,F2,29794526.84
13,firm,F3,41439081.33
13,firm,F4,91382641.73
13,firm,F5,19015738.48
13,firm,F6,70985655.48
13,firm,F7,92654845.06
13,firm,F8,65407509.55
13,firm,F9,14847090.10
14,agent,G0,45357695.00
14,agent,G1,26790590.01
14,agent,G2,73517321.61
14,agent,G3,19578699.05
14,agent,G4,16976652.40
14,agent,G5,17800435.51
14,agent,G6,36901229.05
14,agent,G7,18518671.48
14,agent,G8,28969643.90
14,agent,G9,17350325.17
14,firm,F0,61000000.00
14,firm,F1,50743550.54
14,firm,F2,30031238.09
14,firm,F3,41439081.33
14,firm,F4,91419218.20
14,firm,F5,19015738.48
14,firm,F6,70985655.48
14,firm,F7,92654845.06
14,firm,F8,65407509.55
14,firm,F9,14847090.10
15,agent,G0,45340061.85
15,agent,G1,25225100.01
15,agent,G2,73517321.61
15,agent,G3,19578699.05
15,agent,G4,16994285.55
15,agent,G5,17800435.51
15,agent,G6,36901229.05
15,agent,G7,18518671.48
15,agent,G8,40548523.56
15,agent,G9,10349832.00
15,firm,F0,61000000.00
15,firm,F1,52309040.54
15,firm,F2,30031238.09
15,firm,F3,41439081.33
15,firm,F4,91591645.71
