iteration,type,id,money
1,agent,G0,5700000.00
1,agent,G1,33660000.00
1,agent,G2,2058868.45
1,agent,G3,27300000.00
1,agent,G4,9120000.00
1,agent,G5,8160000.00
1,agent,G6,25520000.00
1,agent,G7,3558774.60
1,agent,G8,9660000.00
1,agent,G9,27470000.00
1,firm,F0,45000000.00
1,firm,F1,61000000.00
1,firm,F2,96241225.40
1,firm,F3,13112186.55
1,firm,F4,63000000.00
1,firm,F5,67000000.00
1,firm,F6,33000000.00
1,firm,F7,35000000.00
1,firm,F8,94000000.00
1,firm,F9,37000000.00
10,agent,G0,8228341.33
10,agent,G1,20523921.06
10,agent,G2,1305275.59
10,agent,G3,27300000.00
10,agent,G4,15989794.34
10,agent,G5,8160000.00
10,agent,G6,20202815.00
10,agent,G7,23305152.40
10,agent,G8,10883825.97
10,agent,G9,8468261.96
10,firm,F0,45151116.35
10,firm,F1,63555099.10
10,firm,F2,97313847.52
10,firm,F3,14741248.10
10,firm,F4,63538191.72
10,firm,F5,69281085.55
10,firm,F6,33000000.00
10,firm,F7,36197256.61
10,firm,F8,94151622.63
10,firm,F9,40260812.76
20,agent,G0,1134221.16
20,agent,G1,14347077.50
20,agent,G2,-128140.29
20,agent,G3,15935140.39
20,agent,G4,13469139.52
20,agent,G5,24854339.32
20,agent,G6,19730023.00
20,agent,G7,27153724.11
20,agent,G8,11498593.48
20,agent,G9,8566542.45
20,firm,F0,47574716.69
20,firm,F1,63555099.10
20,firm,F2,101546473.79
20,firm,F3,17987480.15
20,firm,F4,65588767.78
20,firm,F5,72723305.53
20,firm,F6,34068385.11
20,firm,F7,36248853.86
20,firm,F8,95936775.87
20,firm,F9,42232795.48
30,agent,G0,-2216204.56
30,agent,G1,13305202.37
30,agent,G2,-101845.39
30,agent,G3,17858947.71
30,agent,G4,4565072.76
30,agent,G5,32741668.25
30,agent,G6,14396606.69
30,agent,G7,26792375.11
30,agent,G8,12847026.33
30,agent,G9,6902456.67
30,firm,F0,53073237.04
30,firm,F1,63608288.65
30,firm,F2,102955390.35
30,firm,F3,18400640.82
30,firm,F4,65588767.78
30,firm,F5,75706106.31
30,firm,F6,34269544.07
30,firm,F7,39499011.51
30,firm,F8,96466643.37
30,firm,F9,42247320.20
40,agent,G0,-2934882.74
40,agent,G1,4260939.35
40,agent,G2,1993771.79
40,agent,G3,27741148.30
40,agent,G4,-2357260.31
40,agent,G5,31437486.12
40,agent,G6,16470615.52
40,agent,G7,14171283.30
40,agent,G8,10129563.68
40,agent,G9,12852378.44
40,firm,F0,53073237.04
40,firm,F1,63608288.65
40,firm,F2,108265224.58
40,firm,F3,22830435.25
40,firm,F4,69254721.81
40,firm,F5,78700541.94
40,firm,F6,36377912.96
40,firm,F7,40351976.50
40,firm,F8,98136142.28
40,firm,F9,42411325.57
50,agent,G0,-2612760.62
50,agent,G1,14654368.07
50,agent,G2,5361058.16
50,agent,G3,31199026.15
50,agent,G4,-620547.38
50,agent,G5,3919141.76
50,agent,G6,28929492.40
50,agent,G7,18285995.07
50,agent,G8,1246970.30
50,agent,G9,7820991.80
50,firm,F0,59693479.64
50,firm,F1,64824067.11
50,firm,F2,108265224.58
50,firm,F3,22830435.25
50,firm,F4,74497948.81
50,firm,F5,79707805.61
50,firm,F6,37817238.75
50,firm,F7,40351976.50
50,firm,F8,101870629.17
