iteration,type,id,money
1,agent,G0,1700000.00
1,agent,G1,2600000.00
1,agent,G2,34000000.00
1,agent,G3,46150000.00
1,agent,G4,44832569.19
1,agent,G5,42500000.00
1,agent,G6,22800000.00
1,agent,G7,11400000.00
1,agent,G8,5484032.78
1,agent,G9,29848569.19
1,firm,F0,80000000.00
1,firm,F1,33000000.00
1,firm,F2,93000000.00
1,firm,F3,54000000.00
1,firm,F4,57016707.22
1,firm,F5,9000000.00
1,firm,F6,90000000.00
1,firm,F7,92278861.62
1,firm,F8,94000000.00
1,firm,F9,37000000.00
2,agent,G0,1700000.00
2,agent,G1,2600000.00
2,agent,G2,34000000.00
2,agent,G3,43831910.71
2,agent,G4,44832569.19
2,agent,G5,42500000.00
2,agent,G6,22800000.00
2,agent,G7,11400000.00
2,agent,G8,5484032.78
2,agent,G9,29848569.19
2,firm,F0,80000000.00
2,firm,F1,36781910.76
2,firm,F2,93000000.00
2,firm,F3,54000000.00
2,firm,F4,57016707.22
2,firm,F5,9000000.00
2,firm,F6,90000000.00
2,firm,F7,92278861.62
2,firm,F8,94352086.54
2,firm,F9,37000000.00
3,agent,G0,964702.65
3,agent,G1,2600000.00
3,agent,G2,34000000.00
3,agent,G3,43908583.79
3,agent,G4,44832569.19
3,agent,G5,43124702.65
3,agent,G6,22800000.00
3,agent,G7,11400000.00
3,agent,G8,5484032.78
3,agent,G9,29848569.19
3,firm,F0,80000000.00
3,firm,F1,36781910.76
3,firm,F2,93000000.00
3,firm,F3,54000000.00
3,firm,F4,57127301.92
3,firm,F5,9017230.91
3,firm,F6,90000000.00
3,firm,F7,92278861.62
3,firm,F8,94352086.54
3,firm,F9,37000000.00
4,agent,G0,964702.65
4,agent,G1,2600000.00
4,agent,G2,44879167.03
4,agent,G3,43908583.79
4,agent,G4,49868400.70
4,agent,G5,43124702.65
4,agent,G6,22800000.00
4,agent,G7,11400000.00
4,agent,G8,5484032.78
4,agent,G9,16848880.87
4,firm,F0,81014562.48
4,firm,F1,36781910.76
4,firm,F2,93000000.00
4,firm,F3,54000000.00
4,firm,F4,57127301.92
4,firm,F5,9017230.91
4,firm,F6,90000000.00
4,firm,F7,92278861.62
4,firm,F8,96472607.82
4,firm,F9,37000000.00
5,agent,G0,964702.65
5,agent,G1,2600000.00
5,agent,G2,44879167.03
5,agent,G3,43908583.79
5,agent,G4,49868400.70
5,agent,G5,43124702.65
5,agent,G6,22800000.00
5,agent,G7,11400000.00
5,agent,G8,11837475.59
5,agent,G9,9842696.59
5,firm,F0,81014562.48
5,firm,F1,36781910.76
5,firm,F2,93000000.00
5,firm,F3,54000000.00
5,firm,F4,57127301.92
5,firm,F5,9017230.91
5,firm,F6,91250129.49
5,firm,F7,92278861.62
5,firm,F8,96472607.82
5,firm,F9,37105608.98
6,agent,G0,964702.65
6,agent,G1,2600000.00
6,agent,G2,44879167.03
6,agent,G3,39758917.79
6,agent,G4,52500986.70
6,agent,G5,24196800.12
6,agent,G6,22800000.00
6,agent,G7,11400000.00
6,agent,G8,27409335.18
6,agent,G9,9842696.59
6,firm,F0,81014562.48
6,firm,F1,36781910.76
6,firm,F2,93000000.00
6,firm,F3,57356042.94
6,firm,F4,57127301.92
6,firm,F5,20391882.91
6,firm,F6,91250129.49
6,firm,F7,92278861.62
6,firm,F8,96472607.82
6,firm,F9,37105608.98
7,agent,G0,965572.77
7,agent,G1,2600000.00
7,agent,G2,44881069.04
7,agent,G3,39755494.79
7,agent,G4,52500986.70
7,agent,G5,24196800.12
7,agent,G6,22800000.00
7,agent,G7,21416682.98
7,agent,G8,15498550.02
7,agent,G9,9842696.59
7,firm,F0,81014562.48
7,firm,F1,36781910.76
7,firm,F2,93000000.00
7,firm,F3,57356042.94
7,firm,F4,57127952.80
7,firm,F5,20395305.91
7,firm,F6,91250129.49
7,firm,F7,94172963.80
7,firm,F8,96472607.82
7,firm,F9,37105608.98
8,agent,G0,965572.77
8,agent,G1,2600000.00
8,agent,G2,44881069.04
8,agent,G3,40493803.78
8,agent,G4,48429448.11
8,agent,G5,24196800.12
8,agent,G6,22800000.00
8,agent,G7,21416682.98
8,agent,G8,15878584.26
8,agent,G9,8464645.59
8,firm,F0,81014562.48
8,firm,F1,36781910.76
8,firm,F2,93000000.00
8,firm,F3,61427581.53
8,firm,F4,57387660.57
8,firm,F5,20395305.91
8,firm,F6,91250129.49
8,firm,F7,94172963.80
8,firm,F8,96472607.82
8,firm,F9,38483659.98
9,agent,G0,543696.94
9,agent,G1,2600000.00
9,agent,G2,45233959.52
9,agent,G3,39038771.78
9,agent,G4,48429448.11
9,agent,G5,24196800.12
9,agent,G6,23150582.39
9,agent,G7,21416682.98
9,agent,G8,16758742.32
9,agent,G9,8464645.59
9,firm,F0,81014562.48
9,firm,F1,36781910.76
9,firm,F2,93000000.00
9,firm,F3,61427581.53
9,firm,F4,57387660.57
9,firm,F5,20466599.35
9,firm,F6,91250129.49
9,firm,F7,94172963.80
9,firm,F8,97927639.82
9,firm,F9,38705643.44
10,agent,G0,543696.94
10,agent,G1,3386253.81
10,agent,G2,45233959.52
10,agent,G3,38701891.04
10,agent,G4,48429448.11
10,agent,G5,22485232.12
10,agent,G6,23150582.39
10,agent,G7,21416682.98
10,agent,G8,15717572.06
10,agent,G9,8464645.59
10,firm,F0,81014562.48
10,firm,F1,36781910.76
10,firm,F2,93000000.00
10,firm,F3,61427581.53
10,firm,F4,57387660.57
10,firm,F5,20466599.35
10,firm,F6,91250129.49
10,firm,F7,94330247.99
10,firm,F8,99639207.82
10,firm,F9,40083694.44
11,agent,G0,305629.09
11,agent,G1,2133873.81
11,agent,G2,45961224.31
11,agent,G3,38701891.04
11,agent,G4,48429448.11
11,agent,G5,22682121.82
11,agent,G6,23150582.39
11,agent,G7,21416682.98
11,agent,G8,16009966.15
11,agent,G9,8464645.59
11,firm,F0,81014562.48
11,firm,F1,36781910.76
11,firm,F2,93232721.12
11,firm,F3,61427581.53
11,firm,F4,57387660.57
11,firm,F5,20466599.35
11,firm,F6,91291307.65
11,firm,F7,95582627.99
11,firm,F8,99639207.82
11,firm,F9,40083694.44
12,agent,G0,300793.31
12,agent,G1,2133873.81
12,agent,G2,42026853.31
12,agent,G3,38701891.04
12,agent,G4,48429448.11
12,agent,G5,23588051.47
12,agent,G6,23150582.39
12,agent,G7,23812520.67
12,agent,G8,16009966.15
12,agent,G9,8464645.59
12,firm,F0,81014562.48
12,firm,F1,36781910.76
12,firm,F2,97167092.12
12,firm,F3,61427581.53
12,firm,F4,57387660.57
12,firm,F5,20466599.35
12,firm,F6,91291307.65
12,firm,F7,96215231.65
12,firm,F8,99639207.82
12,firm,F9,40088530.22
13,agent,G0,1086349.32
13,agent,G1,1212330.78
13,agent,G2,42026853.31
13,agent,G3,32651497.04
13,agent,G4,46946845.29
13,agent,G5,25070654.29
13,agent,G6,23150582.39
13,agent,G7,23812520.67
13,agent,G8,16317452.50
13,agent,G9,8464645.59
13,firm,F0,81014562.48
13,firm,F1,36917897.78
13,firm,F2,97167092.12
13,firm,F3,61427581.53
13,firm,F4,63438054.57
13,firm,F5,20525719.00
13,firm,F6,91291307.65
13,firm,F7,96215231.65
13,firm,F8,99639207.82
13,firm,F9,40088530.22
14,agent,G0,-2755677.97
14,agent,G1,1212330.78
14,agent,G2,42026853.31
14,agent,G3,32651497.04
14,agent,G4,46946845.29
14,agent,G5,26111502.10
14,agent,G6,23150582.39
14,agent,G7,22771672.86
14,agent,G8,9158657.36
14,agent,G9,14359812.45
14,firm,F0,81014562.48
14,firm,F1,36917897.78
14,firm,F2,97167092.12
14,firm,F3,62691209.80
14,firm,F4,63438054.57
14,firm,F5,20525719.00
14,firm,F6,91291307.65
14,firm,F7,96215231.65
14,firm,F8,99639207.82
14,firm,F9,44044792.51
15,agent,G0,-2755677.97
15,agent,G1,1212330.78
15,agent,G2,42026853.31
15,agent,G3,32651497.04
15,agent,G4,46946845.29
15,agent,G5,27804338.17
15,agent,G6,13047946.65
15,agent,G7,22771672.86
15,agent,G8,9017980.91
15,agent,G9,22807579.07
15,firm,F0,81014562.48
15,firm,F1,36917897.78
15,firm,F2,97167092.12
15,firm,F3,62691209.80
15,firm,F4,63438054.57
15,firm,F5,20636459.00
15,firm,F6,91291307.65
15,firm,F7,96595285.58
15,firm,F8,99639207.82
15,firm,F9,45729598.07
16,agent,G0,-2755677.97
16,agent,G1,1212330.78
16,agent,G2,42026853.31
16,agent,G3,32651497.04
16,agent,G4,57160178.37
16,agent,G5,15774200.72
16,agent,G6,13047946.65
16,agent,G7,22771672.86
16,agent,G8,9017980.91
16,agent,G9,22807579.07
16,firm,F0,81014562.48
16,firm,F1,36917897.78
16,firm,F2,97167092.12
16,firm,F3,62691209.80
16,firm,F4,63438054.57
16,firm,F5,20636459.00
16,firm,F6,91291307.65
16,firm,F7,96595285.58
16,firm,F8,101456012.19
16,firm,F9,45729598.07
17,agent,G0,-2755677.97
17,agent,G1,1212330.78
17,agent,G2,42026853.31
17,agent,G3,32651497.04
17,agent,G4,57160178.37
17,agent,G5,19029770.72
17,agent,G6,13047946.65
17,agent,G7,22771672.86
17,agent,G8,5059166.19
17,agent,G9,22807579.07
17,firm,F0,81014562.48
17,firm,F1,36917897.78
17,firm,F2,97167092.12
17,firm,F3,62691209.80
17,firm,F4,63438054.57
17,firm,F5,20636459.00
17,firm,F6,91291307.65
17,firm,F7,97298530.30
17,firm,F8,101456012.19
17,firm,F9,45729598.07
18,agent,G0,-2755677.97
18,agent,G1,907579.36
18,agent,G2,39953963.31
18,agent,G3,32651497.04
18,agent,G4,57736490.57
18,agent,G5,18453458.53
18,agent,G6,13047946.65
18,agent,G7,22771672.86
18,agent,G8,5059166.19
18,agent,G9,23393691.60
18,firm,F0,81014562.48
18,firm,F1,36917897.78
18,firm,F2,97167092.12
18,firm,F3,62691209.80
18,firm,F4,65594037.22
18,firm,F5,20636459.00
18,firm,F6,91291307.65
18,firm,F7,97298530.30
18,firm,F8,101456012.19
18,firm,F9,45843240.31
19,agent,G0,18338542.37
19,agent,G1,760504.78
19,agent,G2,39953963.31
19,agent,G3,32651497.04
19,agent,G4,32641518.46
19,agent,G5,18544503.71
19,agent,G6,13047946.65
19,agent,G7,22771672.86
19,agent,G8,5059166.19
19,agent,G9,23393691.60
19,firm,F0,81014562.48
19,firm,F1,40918649.56
19,firm,F2,97167092.12
19,firm,F3,62747239.20
19,firm,F4,65954944.22
19,firm,F5,20636459.00
19,firm,F6,91291307.65
19,firm,F7,97298530.30
19,firm,F8,101456012.19
19,firm,F9,45843240.31
20,agent,G0,18338542.37
20,agent,G1,705096.80
20,agent,G2,39953963.31
20,agent,G3,32651497.04
20,agent,G4,32530778.46
20,agent,G5,18544503.71
20,agent,G6,15932725.53
20,agent,G7,22771672.86
20,agent,G8,5033735.45
20,agent,G9,23419122.34
20,firm,F0,81125302.48
20,firm,F1,40918649.56
20,firm,F2,97222500.09
20,firm,F3,62747239.20
20,firm,F4,66600868.34
20,firm,F5,20636459.00
20,firm,F6,91291307.65
20,firm,F7,97298530.30
20,firm,F8,101456012.19
20,firm,F9,45843240.31
21,agent,G0,18338542.37
21,agent,G1,705096.80
21,agent,G2,40915486.09
21,agent,G3,32651497.04
21,agent,G4,18297762.96
21,agent,G5,18544503.71
21,agent,G6,23232107.02
21,agent,G7,22771672.86
21,agent,G8,5689467.69
21,agent,G9,23419122.34
21,firm,F0,81125302.48
21,firm,F1,43360057.78
21,firm,F2,97222500.09
21,firm,F3,62747239.20
21,firm,F4,70131571.34
21,firm,F5,20636459.00
21,firm,F6,91291307.65
21,firm,F7,97298530.30
21,firm,F8,101601363.96
21,firm,F9,45843240.31
22,agent,G0,18338542.37
22,agent,G1,705096.80
22,agent,G2,40915486.09
22,agent,G3,32651497.04
22,agent,G4,18297762.96
22,agent,G5,18724788.21
22,agent,G6,13159449.70
22,agent,G7,31284701.16
22,agent,G8,6428640.21
22,agent,G9,23419122.34
22,firm,F0,81125302.48
22,firm,F1,43360057.78
22,firm,F2,97222500.09
22,firm,F3,62747239.20
22,firm,F4,70932655.34
22,firm,F5,20636459.00
22,firm,F6,91291307.65
22,firm,F7,98858159.31
22,firm,F8,101601363.96
22,firm,F9,46198028.29
23,agent,G0,18338542.37
23,agent,G1,705096.80
23,agent,G2,42353033.44
23,agent,G3,32651497.04
23,agent,G4,18297762.96
23,agent,G5,7186564.35
23,agent,G6,13159449.70
23,agent,G7,31284701.16
23,agent,G8,6428640.21
23,agent,G9,31653100.34
23,firm,F0,81125302.48
23,firm,F1,44448891.12
23,firm,F2,97222500.09
23,firm,F3,62747239.20
23,firm,F4,70932655.34
23,firm,F5,20636459.00
23,firm,F6,91291307.65
23,firm,F7,104957119.31
23,firm,F8,101601363.96
23,firm,F9,46975893.45
24,agent,G0,29805370.00
24,agent,G1,705096.80
24,agent,G2,42353033.44
24,agent,G3,32651497.04
24,agent,G4,18297762.96
24,agent,G5,7186564.35
24,agent,G6,13228002.23
24,agent,G7,31172937.74
24,agent,G8,6428640.21
24,agent,G9,17797447.70
24,firm,F0,83514127.49
24,firm,F1,44448891.12
24,firm,F2,97222500.09
24,firm,F3,62747239.20
24,firm,F4,70932655.34
24,firm,F5,20679669.90
24,firm,F6,91291307.65
24,firm,F7,105207185.31
24,firm,F8,101601363.96
24,firm,F9,46975893.45
25,agent,G0,29805370.00
25,agent,G1,400541.13
25,agent,G2,42353033.44
25,agent,G3,32651497.04
25,agent,G4,18297762.96
25,agent,G5,9119019.27
25,agent,G6,13288216.77
25,agent,G7,31112723.19
25,agent,G8,6178574.21
25,agent,G9,17797447.70
25,firm,F0,83913230.34
25,firm,F1,44448891.12
25,firm,F2,97222500.09
25,firm,F3,62747239.20
25,firm,F4,70932655.34
25,firm,F5,20679669.90
25,firm,F6,91291307.65
25,firm,F7,105207185.31
25,firm,F8,101851429.96
25,firm,F9,47020927.35
26,agent,G0,29805370.00
26,agent,G1,-1652232.33
26,agent,G2,42353033.44
26,agent,G3,32651497.04
26,agent,G4,18846384.75
26,agent,G5,8570397.49
26,agent,G6,13288216.77
26,agent,G7,31112723.19
26,agent,G8,6178574.21
26,agent,G9,16566019.78
26,firm,F0,83913230.34
26,firm,F1,44448891.12
26,firm,F2,97222500.09
26,firm,F3,64819275.20
26,firm,F4,70932655.34
26,firm,F5,20679669.90
26,firm,F6,92522735.58
26,firm,F7,105207185.31
26,firm,F8,101855989.42
26,firm,F9,47020927.35
27,agent,G0,16795972.06
27,agent,G1,-1652232.33
27,agent,G2,42353033.44
27,agent,G3,32651497.04
27,agent,G4,18846384.75
27,agent,G5,19405295.55
27,agent,G6,13288216.77
27,agent,G7,31112723.19
27,agent,G8,6178574.21
27,agent,G9,16566019.78
27,firm,F0,83913230.34
27,firm,F1,44448891.12
27,firm,F2,97222500.09
27,firm,F3,64819275.20
27,firm,F4,70932655.34
27,firm,F5,22854169.78
27,firm,F6,92522735.58
27,firm,F7,105207185.31
27,firm,F8,101855989.42
27,firm,F9,47020927.35
28,agent,G0,16795972.06
28,agent,G1,-1652232.33
28,agent,G2,42353033.44
28,agent,G3,32651497.04
28,agent,G4,18846384.75
28,agent,G5,10925165.33
28,agent,G6,13288216.77
28,agent,G7,31112723.19
28,agent,G8,6178574.21
28,agent,G9,23610126.00
28,firm,F0,83913230.34
28,firm,F1,44448891.12
28,firm,F2,97222500.09
28,firm,F3,64819275.20
28,firm,F4,70932655.34
28,firm,F5,22854169.78
28,firm,F6,92522735.58
28,firm,F7,106643209.31
28,firm,F8,101855989.42
28,firm,F9,47020927.35
29,agent,G0,17672932.81
29,agent,G1,-1652232.33
29,agent,G2,44194228.37
29,agent,G3,32651497.04
29,agent,G4,10676087.05
29,agent,G5,7716956.33
29,agent,G6,13288216.77
29,agent,G7,31112723.19
29,agent,G8,6178574.21
29,agent,G9,30516936.10
29,firm,F0,87121439.34
29,firm,F1,44448891.12
29,firm,F2,98976041.01
29,firm,F3,64819275.20
29,firm,F4,70932655.34
29,firm,F5,22854169.78
29,firm,F6,92522735.58
29,firm,F7,106643209.31
29,firm,F8,101855989.42
29,firm,F9,47020927.35
30,agent,G0,17672932.81
30,agent,G1,-1652232.33
30,agent,G2,44194228.37
30,agent,G3,43801091.96
30,agent,G4,10676087.05
30,agent,G5,7716956.33
30,agent,G6,14444276.75
30,agent,G7,31045390.58
30,agent,G8,6178574.21
30,agent,G9,17202968.93
30,firm,F0,87121439.34
30,firm,F1,44951652.77
30,firm,F2,98976041.01
30,firm,F3,64819275.20
30,firm,F4,70932655.34
30,firm,F5,22854169.78
30,firm,F6,92522735.58
30,firm,F7,106643209.31
30,firm,F8,101855989.42
30,firm,F9,48935233.60
31,agent,G0,17672932.81
31,agent,G1,-1652232.33
31,agent,G2,44194228.37
31,agent,G3,50290722.66
31,agent,G4,10676087.05
31,agent,G5,7716956.33
31,agent,G6,8110421.72
31,agent,G7,28970061.58
31,agent,G8,5620916.20
31,agent,G9,17760626.94
31,firm,F0,87121439.34
31,firm,F1,46063941.43
31,firm,F2,98976041.01
31,firm,F3,64819275.20
31,firm,F4,70932655.34
31,firm,F5,24929498.78
31,firm,F6,92797336.24
31,firm,F7,106643209.31
31,firm,F8,101855989.42
31,firm,F9,48935233.60
32,agent,G0,16584737.56
32,agent,G1,-1652232.33
32,agent,G2,42852805.37
32,agent,G3,50290722.66
32,agent,G4,10802825.18
32,agent,G5,7716956.33
32,agent,G6,7762988.57
32,agent,G7,28970061.58
32,agent,G8,5620916.20
32,agent,G9,17760626.94
32,firm,F0,87121439.34
32,firm,F1,46063941.43
32,firm,F2,100317464.01
32,firm,F3,64819275.20
32,firm,F4,72368283.74
32,firm,F5,24929498.78
32,firm,F6,92797336.24
32,firm,F7,106671161.18
32,firm,F8,101855989.42
32,firm,F9,48935233.60
33,agent,G0,17021661.94
33,agent,G1,-1652232.33
33,agent,G2,42852805.37
33,agent,G3,50290722.66
33,agent,G4,6053509.13
33,agent,G5,7716956.33
33,agent,G6,11655932.66
33,agent,G7,28970061.58
33,agent,G8,2965454.46
33,agent,G9,18340759.68
33,firm,F0,87121439.34
33,firm,F1,46063941.43
33,firm,F2,100317464.01
33,firm,F3,65675647.17
33,firm,F4,72368283.74
33,firm,F5,24929498.78
33,firm,F6,92797336.24
33,firm,F7,106671161.18
33,firm,F8,101855989.42
33,firm,F9,51100324.22
34,agent,G0,16359592.93
34,agent,G1,-1652232.33
34,agent,G2,42988188.39
34,agent,G3,54564969.33
34,agent,G4,6053509.13
34,agent,G5,7716956.33
34,agent,G6,6605433.20
34,agent,G7,28970061.58
34,agent,G8,2985068.99
34,agent,G9,18340759.68
34,firm,F0,87121439.34
34,firm,F1,46063941.43
34,firm,F2,100317464.01
34,firm,F3,65675647.17
34,firm,F4,72368283.74
34,firm,F5,24929498.78
34,firm,F6,92797336.24
34,firm,F7,107451376.42
34,firm,F8,101855989.42
34,firm,F9,51627010.22
35,agent,G0,17462394.94
35,agent,G1,-1652232.33
35,agent,G2,42988188.39
35,agent,G3,54564969.33
35,agent,G4,6053509.13
35,agent,G5,7964231.45
35,agent,G6,6291735.44
35,agent,G7,28970061.58
35,agent,G8,1699815.81
35,agent,G9,18340759.68
35,firm,F0,87121439.34
35,firm,F1,46493888.43
35,firm,F2,100317464.01
35,firm,F3,65858098.34
35,firm,F4,72434706.39
35,firm,F5,24929498.78
35,firm,F6,92797336.24
35,firm,F7,107451376.42
35,firm,F8,101855989.42
35,firm,F9,51627010.22
36,agent,G0,17462394.94
36,agent,G1,-1652232.33
36,agent,G2,42994534.82
36,agent,G3,54541392.33
36,agent,G4,6053509.13
36,agent,G5,7964231.45
36,agent,G6,6291735.44
36,agent,G7,17883082.26
36,agent,G8,1693469.38
36,agent,G9,29936437.74
36,firm,F0,87660788.88
36,firm,F1,46493888.43
36,firm,F2,100317464.01
36,firm,F3,65858098.34
36,firm,F4,72434706.39
36,firm,F5,24929498.78
36,firm,F6,92820913.24
36,firm,F7,107451376.42
36,firm,F8,103814250.14
36,firm,F9,51627010.22
37,agent,G0,17462394.94
37,agent,G1,-1652232.33
37,agent,G2,24223747.58
37,agent,G3,54541392.33
37,agent,G4,21677045.38
37,agent,G5,7964231.45
37,agent,G6,6291735.44
37,agent,G7,17883082.26
37,agent,G8,2041286.98
37,agent,G9,29936437.74
37,firm,F0,90814561.68
37,firm,F1,46493888.43
37,firm,F2,100426770.59
37,firm,F3,65858098.34
37,firm,F4,72434706.39
37,firm,F5,24929498.78
37,firm,F6,92820913.24
37,firm,F7,107451376.42
37,firm,F8,103814250.14
37,firm,F9,51627010.22
38,agent,G0,9823055.18
38,agent,G1,-1806922.33
38,agent,G2,24223747.58
38,agent,G3,54541392.33
38,agent,G4,21642008.93
38,agent,G5,8121130.71
38,agent,G6,6291735.44
38,agent,G7,17883082.26
38,agent,G8,8406899.62
38,agent,G9,29936437.74
38,firm,F0,90814561.68
38,firm,F1,46493888.43
38,firm,F2,100426770.59
38,firm,F3,65858098.34
38,firm,F4,72434706.39
38,firm,F5,26274871.09
38,firm,F6,92820913.24
38,firm,F7,107451376.42
38,firm,F8,103968940.14
38,firm,F9,51627010.22
39,agent,G0,9823055.18
39,agent,G1,-1806922.33
39,agent,G2,22606605.86
39,agent,G3,54541392.33
39,agent,G4,21642008.93
39,agent,G5,8121130.71
39,agent,G6,6291735.44
39,agent,G7,17883082.26
39,agent,G8,8406899.62
39,agent,G9,29936437.74
39,firm,F0,90814561.68
39,firm,F1,46493888.43
39,firm,F2,100426770.59
39,firm,F3,65858098.34
39,firm,F4,72434706.39
39,firm,F5,26274871.09
39,firm,F6,92820913.24
39,firm,F7,107451376.42
39,firm,F8,105586081.87
39,firm,F9,51627010.22
40,agent,G0,9823055.18
40,agent,G1,-1806922.33
40,agent,G2,22612845.84
40,agent,G3,54541392.33
40,agent,G4,22078230.17
40,agent,G5,8097553.71
40,agent,G6,6291735.44
40,agent,G7,17883082.26
40,agent,G8,7762439.80
40,agent,G9,29936437.74
40,firm,F0,90814561.68
40,firm,F1,46493888.43
40,firm,F2,100426770.59
40,firm,F3,65858098.34
40,firm,F4,73156470.99
40,firm,F5,26298448.09
40,firm,F6,92820913.24
40,firm,F7,107451376.42
40,firm,F8,105586081.87
40,firm,F9,51627010.22
