iteration,type,id,money
1,agent,G0,19816459.46
1,agent,G1,20130000.00
1,agent,G2,101069291.66
1,agent,G3,37931291.66
1,agent,G4,8120000.00
1,agent,G5,18060000.00
1,agent,G6,15800000.00
1,agent,G7,20240000.00
1,agent,G8,7000000.00
1,agent,G9,31680000.00
1,firm,F0,9349416.68
1,firm,F1,43000000.00
1,firm,F2,50000000.00
1,firm,F3,46000000.00
1,firm,F4,77000000.00
1,firm,F5,5011420.54
1,firm,F6,79000000.00
1,firm,F7,75000000.00
1,firm,F8,44000000.00
1,firm,F9,25000000.00
10,agent,G0,12528208.95
10,agent,G1,13653053.60
10,agent,G2,68746185.87
10,agent,G3,16021622.09
10,agent,G4,21638555.88
10,agent,G5,12287050.83
10,agent,G6,15800000.00
10,agent,G7,23954211.03
10,agent,G8,4198290.65
10,agent,G9,98446367.21
10,firm,F0,13249810.33
10,firm,F1,43624638.04
10,firm,F2,50704755.53
10,firm,F3,46016728.99
10,firm,F4,78106886.88
10,firm,F5,5051631.89
10,firm,F6,79552866.32
10,firm,F7,75139029.35
10,firm,F8,44808115.40
10,firm,F9,25102646.16
20,agent,G0,23694834.45
20,agent,G1,8185708.69
20,agent,G2,63510364.35
20,agent,G3,19357342.36
20,agent,G4,10442672.29
20,agent,G5,7337475.09
20,agent,G6,31694037.34
20,agent,G7,19958228.52
20,agent,G8,3402979.38
20,agent,G9,99599386.03
20,firm,F0,14726716.46
20,firm,F1,45149502.43
20,firm,F2,51791972.06
20,firm,F3,46248856.33
20,firm,F4,79349951.37
20,firm,F5,6616369.89
20,firm,F6,79624010.36
20,firm,F7,75923683.59
20,firm,F8,46238674.07
20,firm,F9,29254488.93
30,agent,G0,13982531.87
30,agent,G1,39733287.45
30,agent,G2,37438494.08
30,agent,G3,68005748.04
30,agent,G4,33185679.82
30,agent,G5,-595510.04
30,agent,G6,31841400.33
30,agent,G7,10813534.70
30,agent,G8,11657554.12
30,agent,G9,35292108.76
30,firm,F0,17008369.37
30,firm,F1,45435001.08
30,firm,F2,56481602.92
30,firm,F3,51282455.24
30,firm,F4,79352180.97
30,firm,F5,7191524.22
30,firm,F6,80252008.70
30,firm,F7,75930681.45
30,firm,F8,46357314.68
30,firm,F9,29380683.24
40,agent,G0,8612378.75
40,agent,G1,42209954.76
40,agent,G2,19426639.43
40,agent,G3,50765883.63
40,agent,G4,36263880.33
40,agent,G5,-535191.60
40,agent,G6,44884389.17
40,agent,G7,10225398.64
40,agent,G8,20740490.82
40,agent,G9,50223076.71
40,firm,F0,17452876.65
40,firm,F1,45436705.14
40,firm,F2,56490772.56
40,firm,F3,51282455.24
40,firm,F4,79837391.87
40,firm,F5,12096097.22
40,firm,F6,80252008.70
40,firm,F7,76232212.53
40,firm,F8,52597595.59
40,firm,F9,30697298.86
50,agent,G0,20803813.23
50,agent,G1,20280295.22
50,agent,G2,6577877.63
