run,type,max,min,median,mean,stddev
0,agent,29202859.664592408,2691673.8077282286,18528950.80712818,17623573.23203544,8449131.15646455
0,firm,197056288.16468072,72931719.50012754,133574909.78683089,139726216.06796455,40629287.50936739
1,agent,26860757.019212108,-643722.9428219218,9369763.377492484,11188014.170500731,7644081.51175895
1,firm,137187869.27902952,76946483.02262801,99065397.11270028,103076013.82949926,16480846.425051289
2,agent,26379814.315765962,2636897.0905952314,8410070.407802178,12552484.776474992,8984390.761929829
2,firm,142064239.7229834,62524759.100810535,103650259.82440305,104838975.02352503,27505775.903035615
3,agent,42058244.21758949,2455624.898374282,11516824.458187375,17177537.531958584,14997285.46637624
3,firm,216626615.1586207,117232525.57075521,142422175.58876956,158051475.76804146,30325062.562634476
4,agent,39585614.51002343,-855349.0403320091,10259067.437937157,13728575.951837152,13711151.647644406
4,firm,147376256.6305233,82870532.37007825,93850383.20798504,103989991.64816287,22116918.27730236
5,agent,44561295.853377335,3878824.0378507357,11295508.419322893,15060918.476200376,11220015.176856905
5,firm,152916835.2590816,94770960.56688741,122211781.66016218,125089130.82379961,17333822.91822215
6,agent,59683216.839297526,2936862.811234747,20085960.05478402,22161126.098324377,16545464.691603499
6,firm,200765164.24348217,75832096.83655351,145244696.41350365,139912540.6016756,30555377.031896498
7,agent,43452311.24578737,4893869.11097254,25367050.484233458,23801216.556183733,10233167.955246614
7,firm,233753186.47682038,104477122.73477177,147913175.49827236,155860691.6438163,36624620.211656764
8,agent,32746442.017036255,-787006.4836513387,8006899.458711333,12606082.081748268,12266717.866697546
8,firm,160880528.01072595,77478147.96865174,129221959.44322121,128139206.41825175,23335902.634362902
9,agent,44325647.987758994,601608.4029120012,8540580.760198213,12623786.298690721,12160744.035306014
9,firm,171989667.86062902,74233212.33945327,120761157.00256795,119154328.00130928,27575432.306069538
10,agent,43100537.21257575,1918833.2078385146,21378323.908252686,23753052.72934953,13163602.110155309
10,firm,225479928.8416468,110517562.31286423,179424561.85601932,174896546.9706505,29907276.58485943
11,agent,41222759.823529586,3007762.2011986496,9698406.003664434,15126330.506912153,11576650.671519984
11,firm,157453294.49181613,67066035.97862039,106468835.19828933,109506723.69308785,29940196.669256795
