iteration,type,id,money
1,agent,G0,30360000.00
1,agent,G1,53760000.00
1,agent,G2,10850000.00
1,agent,G3,85500000.00
1,agent,G4,39826405.36
1,agent,G5,9450000.00
1,agent,G6,770000.00
1,agent,G7,25010000.00
1,agent,G8,37894599.94
1,agent,G9,52854405.36
1,firm,F0,28000000.00
1,firm,F1,35659189.29
1,firm,F2,84000000.00
1,firm,F3,29000000.00
1,firm,F4,20044577.06
1,firm,F5,72000000.00
1,firm,F6,44000000.00
1,firm,F7,40000000.00
1,firm,F8,17000000.00
1,firm,F9,94000000.00
10,agent,G0,41861418.93
10,agent,G1,53760000.00
10,agent,G2,15250017.49
10,agent,G3,49471479.30
10,agent,G4,14883024.35
10,agent,G5,5710850.64
10,agent,G6,35032346.57
10,agent,G7,14854601.79
10,agent,G8,37596567.23
10,agent,G9,75768920.61
10,firm,F0,31500171.42
10,firm,F1,36895508.34
10,firm,F2,86159492.04
10,firm,F3,35027221.25
10,firm,F4,20044577.06
10,firm,F5,73582998.58
10,firm,F6,47813241.77
10,firm,F7,43528628.74
10,firm,F8,18071085.52
10,firm,F9,94342312.38
20,agent,G0,25946640.41
20,agent,G1,65786568.74
20,agent,G2,5261946.64
20,agent,G3,84521561.27
20,agent,G4,14940461.90
20,agent,G5,28588675.41
20,agent,G6,12076744.90
20,agent,G7,16337422.06
20,agent,G8,21701556.87
20,agent,G9,56901420.53
20,firm,F0,35581234.99
20,firm,F1,39643624.11
20,firm,F2,87075935.70
20,firm,F3,49673644.25
20,firm,F4,20952013.24
20,firm,F5,77081643.73
20,firm,F6,63273431.32
20,firm,F7,44997040.89
20,firm,F8,20185855.57
20,firm,F9,100120514.47
30,agent,G0,31644303.76
30,agent,G1,33921989.19
30,agent,G2,4062736.93
30,agent,G3,27649252.77
30,agent,G4,9401026.57
30,agent,G5,28588675.41
30,agent,G6,31083316.86
30,agent,G7,56236948.27
30,agent,G8,45444688.10
30,agent,G9,51478353.23
30,firm,F0,42509292.26
30,firm,F1,42657438.32
30,firm,F2,88840661.66
30,firm,F3,53500347.19
30,firm,F4,21796367.24
30,firm,F5,78260833.73
30,firm,F6,67514087.64
30,firm,F7,50836354.60
30,firm,F8,20528246.36
30,firm,F9,106291210.91
40,agent,G0,35015610.06
40,agent,G1,78609583.62
40,agent,G2,-2403710.85
40,agent,G3,15911763.79
40,agent,G4,767760.77
40,agent,G5,35552067.93
40,agent,G6,10873634.80
40,agent,G7,29673992.08
40,agent,G8,62076506.94
40,agent,G9,32585626.79
40,firm,F0,42509292.26
40,firm,F1,42657438.32
40,firm,F2,112706707.36
40,firm,F3,58357043.58
40,firm,F4,24637006.81
40,firm,F5,79171843.72
40,firm,F6,70673960.64
40,firm,F7,54489742.31
40,firm,F8,24741174.22
40,firm,F9,110571469.86
50,agent,G0,20638506.45
50,agent,G1,45779495.06
50,agent,G2,-2150987.04
50,agent,G3,38138498.51
50,agent,G4,-1305451.39
50,agent,G5,19097673.14
50,agent,G6,43857563.95
50,agent,G7,16923295.38
50,agent,G8,77254770.83
50,agent,G9,37593979.20
50,firm,F0,43993899.85
50,firm,F1,45659249.70
50,firm,F2,115442413.37
50,firm,F3,58689250.06
50,firm,F4,28380138.65
50,firm,F5,81285446.72
50,firm,F6,73082271.16
50,firm,F7,55329801.28
50,firm,F8,31007752.89
50,firm,F9,119427661.22
60,agent,G0,2571098.23
60,agent,G1,26100943.85
60,agent,G2,-1548710.67
60,agent,G3,23005715.08
60,agent,G4,-939925.00
60,agent,G5,10595035.25
60,agent,G6,31808612.45
60,agent,G7,4857541.49
60,agent,G8,59049553.92
60,agent,G9,8990539.13
60,firm,F0,41607926.94
60,firm,F1,40152241.42
60,firm,F2,93528500.73
60,firm,F3,51538153.56
60,firm,F4,27853151.57
60,firm,F5,67784530.54
60,firm,F6,64820163.78
60,firm,F7,52255140.05
60,firm,F8,24819972.24
60,firm,F9,96059584.42
70,agent,G0,19212115.56
70,agent,G1,26125744.67
70,agent,G2,-1372478.70
70,agent,G3,23005715.08
70,agent,G4,-985393.32
70,agent,G5,8346118.40
70,agent,G6,40134907.37
70,agent,G7,4344357.58
70,agent,G8,26592988.70
70,agent,G9,8965738.30
70,firm,F0,41583482.24
70,firm,F1,41405389.87
70,firm,F2,99474252.94
70,firm,F3,53825136.50
70,firm,F4,28884592.20
70,firm,F5,67919332.19
70,firm,F6,64820163.78
70,firm,F7,53402069.81
70,firm,F8,25886760.36
70,firm,F9,96059584.42
80,agent,G0,17500632.89
80,agent,G1,31308654.33
80,agent,G2,-1457171.30
80,agent,G3,7337066.67
80,agent,G4,-883148.84
80,agent,G5,4039196.63
80,agent,G6,48163923.71
80,agent,G7,1512212.25
80,agent,G8,28154442.35
80,agent,G9,12206389.78
80,firm,F0,41583482.24
80,firm,F1,42955455.71
80,firm,F2,100853580.44
80,firm,F3,54265413.70
80,firm,F4,30770254.52
80,firm,F5,68219220.09
80,firm,F6,67069039.10
80,firm,F7,57457350.46
80,firm,F8,27009949.46
80,firm,F9,96150721.80
90,agent,G0,17006294.90
90,agent,G1,49582756.32
90,agent,G2,2433348.46
90,agent,G3,2846377.83
90,agent,G4,-791561.33
90,agent,G5,8834675.70
90,agent,G6,29460653.91
90,agent,G7,-2751751.90
90,agent,G8,25216439.90
90,agent,G9,5314270.09
90,firm,F0,42106543.22
90,firm,F1,43449793.69
90,firm,F2,106976393.07
90,firm,F3,55385418.75
90,firm,F4,30770254.52
90,firm,F5,69827860.09
90,firm,F6,68761978.21
90,firm,F7,57708602.34
90,firm,F8,29303687.39
90,firm,F9,96150721.80
100,agent,G0,10602852.77
100,agent,G1,29122512.26
100,agent,G2,1347873.35
100,agent,G3,755732.55
100,agent,G4,-791561.33
100,agent,G5,11140068.30
100,agent,G6,18503404.98
100,agent,G7,637816.10
100,agent,G8,44958610.70
100,agent,G9,14989229.62
100,firm,F0,43077413.49
100,firm,F1,43449793.69
100,firm,F2,110049936.41
100,firm,F3,55410403.62
100,firm,F4,31084765.14
100,firm,F5,72824989.66
100,firm,F6,70331593.21
100,firm,F7,58548815.89
100,firm,F8,29379824.68
100,firm,F9,99978517.88
110,agent,G0,5402250.29
110,agent,G1,9875127.21
110,agent,G2,-1756094.89
110,agent,G3,331500.37
110,agent,G4,3038605.96
110,agent,G5,497343.54
110,agent,G6,16610381.86
110,agent,G7,3090033.08
110,agent,G8,26998020.08
110,agent,G9,9159699.32
110,firm,F0,34461930.79
110,firm,F1,34763080.52
110,firm,F2,90851798.26
110,firm,F3,44328322.90
110,firm,F4,24867812.11
110,firm,F5,60168410.72
110,firm,F6,57718522.85
110,firm,F7,49805460.96
110,firm,F8,25004908.48
110,firm,F9,83173344.60
120,agent,G0,2881319.54
120,agent,G1,9954237.10
120,agent,G2,3679455.37
120,agent,G3,-94911.38
120,agent,G4,3718085.88
120,agent,G5,15544039.37
120,agent,G6,9371758.37
120,agent,G7,2373518.63
120,agent,G8,15764577.83
120,agent,G9,8314141.09
120,firm,F0,34839439.18
120,firm,F1,34890755.90
120,firm,F2,91888655.75
120,firm,F3,44328322.90
120,firm,F4,25603567.09
120,firm,F5,61921926.17
120,firm,F6,57789021.41
120,firm,F7,51234487.93
120,firm,F8,26284157.58
120,firm,F9,84148626.31
130,agent,G0,1611510.99
130,agent,G1,10764442.02
130,agent,G2,2176862.39
130,agent,G3,3581143.69
130,agent,G4,13139803.97
130,agent,G5,7007033.60
130,agent,G6,2331794.52
130,agent,G7,828362.92
130,agent,G8,16763743.22
130,agent,G9,5110642.93
130,firm,F0,37506510.30
130,firm,F1,34890755.90
130,firm,F2,92281168.20
130,firm,F3,44836409.58
130,firm,F4,25602826.33
130,firm,F5,66742334.02
130,firm,F6,58260988.57
130,firm,F7,54270161.44
130,firm,F8,26895394.42
130,firm,F9,86932285.01
140,agent,G0,-346318.74
140,agent,G1,10844800.09
140,agent,G2,2197977.18
140,agent,G3,2968073.44
140,agent,G4,11808676.22
140,agent,G5,3601993.34
140,agent,G6,3698054.05
140,agent,G7,5058507.31
140,agent,G8,6553130.26
140,agent,G9,12161607.30
140,firm,F0,38365399.10
140,firm,F1,35361301.78
140,firm,F2,92685068.98
140,firm,F3,44836409.58
140,firm,F4,26329426.34
140,firm,F5,66742334.02
140,firm,F6,60412945.17
140,firm,F7,57755534.04
140,firm,F8,27027790.31
140,firm,F9,88175250.25
150,agent,G0,-310386.95
150,agent,G1,5880495.55
150,agent,G2,2291880.00
150,agent,G3,1234752.28
150,agent,G4,13542804.59
150,agent,G5,4009386.94
150,agent,G6,6070778.56
150,agent,G7,7088526.91
150,agent,G8,2109601.69
150,agent,G9,15426921.89
150,firm,F0,38911624.05
150,firm,F1,35740793.76
150,firm,F2,93732374.71
150,firm,F3,45251007.28
150,firm,F4,27257064.48
150,firm,F5,66892629.73
150,firm,F6,60504487.20
150,firm,F7,58370695.86
150,firm,F8,27786735.51
