run,type,max,min,median,mean,stddev
0,agent,91512.9726982224,37220.88306631398,62630.721035088005,65442.975482532034,15428.548784570936
0,firm,16659310.147447152,7292485.921958435,12881470.07069489,12887261.095756227,3255150.009757779
1,agent,103231.48730147966,1516.187967131329,46442.24403507018,49150.52245064877,26863.814566038716
1,firm,18601579.152172815,5863702.407118613,16339348.579548776,13795677.16221725,4449776.50423714
2,agent,61148.34164956544,10562.755051722355,26906.18206045279,28956.267290033913,14713.210620269881
2,firm,17698855.7685223,5940983.1647416325,8754618.99879757,10775691.777562143,4576717.140560438
3,agent,118957.21073283255,-8275.26345036646,52128.75085254342,50680.468755019465,38885.021673214695
3,firm,17101936.91695849,10784141.803878497,14003134.93161527,13969917.879386615,1897524.3860857433
4,agent,70890.58125533075,-8072.446511379909,23670.680483540942,28120.778705547244,23395.207376149625
4,firm,18638197.22862192,7185718.371468054,15975645.462893525,14157343.207151249,4147636.7281916034
5,agent,66566.0163592823,16767.026171740607,38299.53705364044,39990.05528998819,16314.36982938114
5,firm,18506617.764935587,6945912.629493117,13453270.290214462,13194302.398277428,3211469.9867624696
6,agent,87908.42313595933,19805.61554447753,46821.25783519275,48268.196833983944,19271.940770649726
6,firm,17040873.84591161,4922891.134631759,10473943.437725049,11263306.319526676,3952119.4721940667
7,agent,70155.84353798679,11184.513852506378,57490.26088177366,50349.99726567438,19099.724542465865
7,firm,14094574.11176508,6215681.250454984,8415835.24070634,9383534.975936584,2489456.0132474652
8,agent,63731.44542899536,7064.8423140228915,31434.671518754287,34262.45067805939,16735.2952527671
8,firm,16678555.026290199,4676248.342019461,10148221.126400089,10967379.779159805,3801627.510864818
9,agent,71845.68056356431,-7023.675220976122,40720.06367944532,36652.31753690044,23731.97814859191
9,firm,15287304.236179236,7926175.643405565,12193974.957850736,12066857.09068549,2470911.5197884063
10,agent,134198.2325052296,9149.643030791014,59117.90043976991,65183.253458287254,32310.29977898193
10,firm,19682169.715626873,6802903.14898886,9827470.731210822,11525458.11376654,4246690.671205877
11,agent,69728.71727151993,-2451.9411437333956,23386.688867923618,33519.86182423886,23242.47912325269
11,firm,16557119.071360031,8655546.609706866,11868026.659227889,12140647.632274289,2187359.080250893
12,agent,51093.61567622866,11159.657586420006,29348.73514046153,30852.071488212485,12558.41758082942
12,firm,12392179.737127308,6008220.886659967,6943800.696783546,8215052.810868871,2375690.091301968
13,agent,76283.43691871132,30049.106188498332,52957.51846417065,51623.598035396,15134.135115121564
13,firm,19530489.14182379,5745186.7455351595,15205998.316471048,13923196.740496695,4513093.506302981
14,agent,153428.33980801827,5706.093042230595,50318.579353781664,63013.11199553278,40613.003394106054
14,firm,20599951.20030965,7035493.785721608,12235600.824803606,12672208.100224396,4646279.7360112695
15,agent,128730.34460635947,24414.44201460623,55348.713423912544,60440.10096940964,31515.397005742332
15,firm,18248692.209869936,6283981.523228043,7629389.064725047,9688005.187222753,3801725.6458291137
16,agent,53751.656594143205,5499.3953612702935,33622.85636911939,31696.17071784127,15478.122915784666
16,firm,15969561.322511274,2359665.745484788,9404299.40518137,9919774.553301984,4261978.149843918
17,agent,81758.22143339369,2653.9549682193965,47797.733471430256,45243.674198419925,26879.817776936485
17,firm,12027197.531703724,3470893.4651202946,8735348.895334095,8851649.120293332,2542080.6541227726
18,agent,86524.04950133346,19503.762918775614,44220.853350529396,49303.179924947624,21538.221535193105
18,firm,19181519.217054285,5610235.472226382,14659544.021335961,13883114.833614713,3990532.160460371
19,agent,78100.69747394878,-280.79324809294167,52100.7576922838,47865.515340616286,22270.766384952087
19,firm,16307972.533680921,5701039.921854831,10211060.979786497,10526921.047360785,3053837.299207212
20,agent,83365.28783283682,13375.327149524177,42667.54429584255,45074.89454850521,20734.609479128434
20,firm,13666334.244978035,3395780.312363768,10368105.047551733,9415904.681311453,3496046.02813738
21,agent,50117.56654302766,16862.842801489824,28906.972342196936,29813.06653156277,9767.915937613985
21,firm,16186803.035003336,2861816.2508736793,11757528.373435814,11074211.60623749,4423217.685907358
22,agent,101099.32504442768,7810.71272343304,48687.15021693529,50180.97301588628,25649.095470549
22,firm,16054984.111040251,4182582.13673485,9408614.194300028,9963300.540853206,3713410.0599091677
23,agent,89170.66365065557,15498.345990202915,61901.78029358847,53802.132075519316,25866.9067454578
23,firm,16412970.61681847,4897443.5261127595,10342571.326408217,10777381.168878846,3644727.297817908
24,agent,53171.09422651633,9815.786232440176,24588.10977965111,27539.75827783478,15398.61990612891
24,firm,18048734.35500997,4905248.837023978,11035755.4432977,11344945.451031983,4441479.878807602
25,agent,75575.8503309917,11357.886087611441,38902.007613640984,39273.7867491101,21825.721780460168
25,firm,15566749.405566419,4885306.522731226,11450108.049970929,10958758.97633419,3346343.195488633
26,agent,68331.82052291725,24189.177269436692,42635.636323828694,41968.47247584888,14589.280490022995
26,firm,14211802.246683124,3797572.912161491,9194961.271015529,9100674.62202062,2982089.454044622
27,agent,94015.07142019755,32363.793214568854,54912.31973838588,59305.01276382331,19882.32585541717
27,firm,17296035.915372383,4397076.984663318,13972082.571687099,13361481.426905707,3746090.781152216
28,agent,90129.77868712411,12389.828923399633,57242.95821652934,53359.497075789914,25304.10766147694
28,firm,17887096.177309483,6340855.145975786,13610189.018338155,12816740.10125847,3979106.508459872
29,agent,45306.56564443219,5704.475525635179,21896.93938641448,25713.353240742937,13793.780151398447
29,firm,16679336.615978977,3930649.8347023646,8812671.076445628,9155432.547292199,4303166.93873156
30,agent,55470.77001767237,20840.673318663423,32795.146884095346,34369.10311593863,9786.861981519463
30,firm,19734108.648037367,5572188.400032945,15973403.690047443,13656040.968113363,4922782.280860657
31,agent,54696.78159981997,10261.660964070603,32162.061239415423,32301.432073125692,12297.933011143421
31,firm,17227733.089392066,4532584.273875266,11350537.4835798,11919561.572514242,4021914.9187576445
32,agent,74694.52940842172,-4181.19360042379,28413.674796753163,32071.98337015456,25373.66081907219
32,firm,15639189.342254173,9144699.775480637,12163512.122222695,12397436.879340103,2382331.8740056665
33,agent,125109.62870561382,19453.357522806895,57758.81675386549,63380.01133469632,28274.977103147485
33,firm,18203329.873292774,6093734.008065955,14074985.111225206,13438233.107893338,3712156.077698162
34,agent,70374.64222651726,16373.179997879852,44215.71066306687,41919.22982816376,16808.59667613653
34,firm,15190004.975461207,3270503.5847425703,10305500.870196927,10267293.551999092,3774875.4429326
35,agent,141402.1264063213,8250.682971468734,82493.35905155301,79128.03783634983,38990.18487123838
35,firm,18628052.920893792,7380589.615321153,14795677.06845775,14190522.924127396,3669967.7865783884
36,agent,79884.27163132292,4355.802927619961,39405.852505725044,38047.46811226114,20997.937736067845
36,firm,16395570.003839292,4469151.403784471,12557946.340412652,11341693.007457664,3923043.087066271
