iteration,type,id,money
1,agent,G0,19000000.00
1,agent,G1,78320000.00
1,agent,G2,37840000.00
1,agent,G3,4930000.00
1,agent,G4,9708652.04
1,agent,G5,14176652.04
1,agent,G6,39840000.00
1,agent,G7,3360000.00
1,agent,G8,22750000.00
1,agent,G9,6096267.85
1,firm,F0,78000000.00
1,firm,F1,30000000.00
1,firm,F2,54000000.00
1,firm,F3,95000000.00
1,firm,F4,31000000.00
1,firm,F5,16574695.93
1,firm,F6,9000000.00
1,firm,F7,15008620.15
1,firm,F8,46000000.00
1,firm,F9,1000000.00
2,agent,G0,19000000.00
2,agent,G1,78732789.33
2,agent,G2,36274664.32
2,agent,G3,4930000.00
2,agent,G4,9708652.04
2,agent,G5,14176652.04
2,agent,G6,39840000.00
2,agent,G7,3360000.00
2,agent,G8,22750000.00
2,agent,G9,6096267.85
2,firm,F0,78000000.00
2,firm,F1,30000000.00
2,firm,F2,55565335.68
2,firm,F3,95000000.00
2,firm,F4,31000000.00
2,firm,F5,16574695.93
2,firm,F6,9022422.67
2,firm,F7,15008620.15
2,firm,F8,46000000.00
2,firm,F9,1000000.00
3,agent,G0,10999778.43
3,agent,G1,78732789.33
3,agent,G2,36274664.32
3,agent,G3,5072817.86
3,agent,G4,9708652.04
3,agent,G5,14176652.04
3,agent,G6,39840000.00
3,agent,G7,10559778.43
3,agent,G8,22750000.00
3,agent,G9,6096267.85
3,firm,F0,78000000.00
3,firm,F1,30000000.00
3,firm,F2,55565335.68
3,firm,F3,95800443.14
3,firm,F4,31000000.00
3,firm,F5,16574695.93
3,firm,F6,9022422.67
3,firm,F7,15008620.15
3,firm,F8,46011965.14
3,firm,F9,1000000.00
4,agent,G0,10999778.43
4,agent,G1,78732789.33
4,agent,G2,36274664.32
4,agent,G3,5072817.86
4,agent,G4,9708652.04
4,agent,G5,14176652.04
4,agent,G6,39840000.00
4,agent,G7,10559778.43
4,agent,G8,22750000.00
4,agent,G9,6658314.47
4,firm,F0,78000000.00
4,firm,F1,30000000.00
4,firm,F2,55565335.68
4,firm,F3,95800443.14
4,firm,F4,31000000.00
4,firm,F5,16574695.93
4,firm,F6,9069512.34
4,firm,F7,15008620.15
4,firm,F8,46011965.14
4,firm,F9,1269955.71
5,agent,G0,10999778.43
5,agent,G1,84142077.10
5,agent,G2,47666626.80
5,agent,G3,5072817.86
5,agent,G4,9708652.04
5,agent,G5,8244618.17
5,agent,G6,39840000.00
5,agent,G7,10559778.43
5,agent,G8,22750000.00
5,agent,G9,6658314.47
5,firm,F0,78000000.00
5,firm,F1,30761512.52
5,firm,F2,56088081.77
5,firm,F3,95800443.14
5,firm,F4,31000000.00
5,firm,F5,16574695.93
5,firm,F6,9069512.34
5,firm,F7,15008620.15
5,firm,F8,46011965.14
5,firm,F9,1269955.71
6,agent,G0,10999778.43
6,agent,G1,84210181.60
6,agent,G2,47666626.80
6,agent,G3,6157461.44
6,agent,G4,9708652.04
6,agent,G5,8244618.17
6,agent,G6,23171455.89
6,agent,G7,10559778.43
6,agent,G8,22750000.00
6,agent,G9,20914573.87
6,firm,F0,78068742.42
6,firm,F1,30761512.52
6,firm,F2,56088081.77
6,firm,F3,95800443.14
6,firm,F4,31000000.00
6,firm,F5,16574695.93
6,firm,F6,9069512.34
6,firm,F7,17352800.36
6,firm,F8,46011965.14
6,firm,F9,1269955.71
7,agent,G0,10999778.43
7,agent,G1,83056795.60
7,agent,G2,47666626.80
7,agent,G3,6062999.66
7,agent,G4,9708652.04
7,agent,G5,16988896.10
7,agent,G6,13378569.10
7,agent,G7,10559778.43
7,agent,G8,25726660.61
7,agent,G9,21009035.64
7,firm,F0,78068742.42
7,firm,F1,30761512.52
7,firm,F2,56088081.77
7,firm,F3,95800443.14
7,firm,F4,31000000.00
7,firm,F5,16574695.93
7,firm,F6,10222898.34
7,firm,F7,17352800.36
7,firm,F8,46304145.54
7,firm,F9,2318564.57
8,agent,G0,10999778.43
8,agent,G1,83140015.54
8,agent,G2,27568059.18
8,agent,G3,24097733.48
8,agent,G4,9708652.04
8,agent,G5,16988896.10
8,agent,G6,13378569.10
8,agent,G7,10559778.43
8,agent,G8,27164979.01
8,agent,G9,20925815.70
8,firm,F0,78068742.42
8,firm,F1,30761512.52
8,firm,F2,56088081.77
8,firm,F3,95800443.14
8,firm,F4,31000000.00
8,firm,F5,16574695.93
8,firm,F6,10222898.34
8,firm,F7,19607268.75
8,firm,F8,47183237.54
8,firm,F9,2318564.57
9,agent,G0,11014163.51
9,agent,G1,83140015.54
9,agent,G2,27568059.18
9,agent,G3,14025591.19
9,agent,G4,9708652.04
9,agent,G5,26197817.60
9,agent,G6,17074453.32
9,agent,G7,10559778.43
9,agent,G8,27010196.01
9,agent,G9,20925815.70
9,firm,F0,78068742.42
9,firm,F1,31610348.24
9,firm,F2,56333313.56
9,firm,F3,95800443.14
9,firm,F4,31000000.00
9,firm,F5,16574695.93
9,firm,F6,10222898.34
9,firm,F7,19762051.75
9,firm,F8,47183237.54
9,firm,F9,2318564.57
10,agent,G0,11014163.51
10,agent,G1,83140015.54
10,agent,G2,27568059.18
10,agent,G3,10084475.19
10,agent,G4,9708652.04
10,agent,G5,25252073.15
10,agent,G6,16602393.02
10,agent,G7,11178221.56
10,agent,G8,27482256.32
10,agent,G9,20925815.70
10,firm,F0,79014486.87
10,firm,F1,31610348.24
10,firm,F2,56333313.56
10,firm,F3,95845816.01
10,firm,F4,31000000.00
10,firm,F5,16574695.93
10,firm,F6,10222898.34
10,firm,F7,19762051.75
10,firm,F8,51124353.54
10,firm,F9,2318564.57
11,agent,G0,11014163.51
11,agent,G1,88697891.38
11,agent,G2,26305810.42
11,agent,G3,10084475.19
11,agent,G4,9708652.04
11,agent,G5,25252073.15
11,agent,G6,16602393.02
11,agent,G7,6531271.39
11,agent,G8,15724573.36
11,agent,G9,20925815.70
11,firm,F0,79014486.87
11,firm,F1,31610348.24
11,firm,F2,56333313.56
11,firm,F3,95845816.01
11,firm,F4,31351323.09
11,firm,F5,16574695.93
11,firm,F6,22412411.30
11,firm,F7,19762051.75
11,firm,F8,51124353.54
11,firm,F9,2318564.57
12,agent,G0,11014163.51
12,agent,G1,88697891.38
12,agent,G2,29899316.74
12,agent,G3,5497585.94
12,agent,G4,9708652.04
12,agent,G5,25252073.15
12,agent,G6,16602393.02
12,agent,G7,6531271.39
12,agent,G8,15724573.36
12,agent,G9,21031846.88
12,firm,F0,80167872.87
12,firm,F1,31610348.24
12,firm,F2,56333313.56
12,firm,F3,95845816.01
12,firm,F4,31780628.95
12,firm,F5,16574695.93
12,firm,F6,22412411.30
12,firm,F7,19825221.64
12,firm,F8,51124353.54
12,firm,F9,2318564.57
13,agent,G0,6373179.67
13,agent,G1,88697891.38
13,agent,G2,29899316.74
13,agent,G3,9667932.90
13,agent,G4,9708652.04
