iteration,type,id,money
1,agent,G0,29400.00
1,agent,G1,120000.00
1,agent,G2,708400.00
1,agent,G3,42000.00
1,agent,G4,855400.00
1,agent,G5,281400.00
1,agent,G6,302400.00
1,agent,G7,13000.00
1,agent,G8,69000.00
1,agent,G9,164000.00
1,firm,F0,14000000.00
1,firm,F1,5000000.00
1,firm,F2,85000000.00
1,firm,F3,59000000.00
1,firm,F4,64000000.00
1,firm,F5,31000000.00
1,firm,F6,19000000.00
1,firm,F7,7000000.00
1,firm,F8,30000000.00
1,firm,F9,10000000.00
2,agent,G0,29400.00
2,agent,G1,120000.00
2,agent,G2,708400.00
2,agent,G3,42000.00
2,agent,G4,855400.00
2,agent,G5,281400.00
2,agent,G6,302400.00
2,agent,G7,13000.00
2,agent,G8,69000.00
2,agent,G9,164000.00
2,firm,F0,14000000.00
2,firm,F1,5000000.00
2,firm,F2,85000000.00
2,firm,F3,59000000.00
2,firm,F4,64000000.00
2,firm,F5,31000000.00
2,firm,F6,19000000.00
2,firm,F7,7000000.00
2,firm,F8,30000000.00
2,firm,F9,10000000.00
3,agent,G0,29400.00
3,agent,G1,120000.00
3,agent,G2,708400.00
3,agent,G3,42000.00
3,agent,G4,855400.00
3,agent,G5,281400.00
3,agent,G6,302400.00
3,agent,G7,13000.00
3,agent,G8,69000.00
3,agent,G9,164000.00
3,firm,F0,14000000.00
3,firm,F1,5000000.00
3,firm,F2,85000000.00
3,firm,F3,59000000.00
3,firm,F4,64000000.00
3,firm,F5,31000000.00
3,firm,F6,19000000.00
3,firm,F7,7000000.00
3,firm,F8,30000000.00
3,firm,F9,10000000.00
4,agent,G0,29400.00
4,agent,G1,120000.00
4,agent,G2,708400.00
4,agent,G3,42000.00
4,agent,G4,855400.00
4,agent,G5,281400.00
4,agent,G6,302400.00
4,agent,G7,13000.00
4,agent,G8,69000.00
4,agent,G9,164000.00
4,firm,F0,14000000.00
4,firm,F1,5000000.00
4,firm,F2,85000000.00
4,firm,F3,59000000.00
4,firm,F4,64000000.00
4,firm,F5,31000000.00
4,firm,F6,19000000.00
4,firm,F7,7000000.00
4,firm,F8,30000000.00
4,firm,F9,10000000.00
5,agent,G0,29400.00
5,agent,G1,120000.00
5,agent,G2,708400.00
5,agent,G3,42000.00
5,agent,G4,855400.00
5,agent,G5,281400.00
5,agent,G6,302400.00
5,agent,G7,13000.00
5,agent,G8,69000.00
5,agent,G9,164000.00
5,firm,F0,14000000.00
5,firm,F1,5000000.00
5,firm,F2,85000000.00
5,firm,F3,59000000.00
5,firm,F4,64000000.00
5,firm,F5,31000000.00
5,firm,F6,19000000.00
5,firm,F7,7000000.00
5,firm,F8,30000000.00
5,firm,F9,10000000.00
