run,type,max,min,median,mean,stddev
0,agent,855400,13000,142000.0,258500.0,280143.4097029591
0,firm,85000000,5000000,24500000.0,32400000.0,26260997.696203396
1,agent,569500,28600,300800.0,303690.0,176480.8230375187
1,firm,75000000,1000000,22500000.0,31000000.0,26088311.559010483
2,agent,671600,21500,182000.0,307860.0,259081.4126872092
2,firm,100000000,5000000,66000000.0,61100000.0,32758052.445162244
3,agent,730400,4700,174350.0,265780.0,253058.1466777942
3,firm,97000000,25000000,46500000.0,54200000.0,25242028.444639705
4,agent,494100,7000,151400.0,193040.0,148711.81661186175
4,firm,61000000,2000000,22000000.0,29000000.0,19651971.91123578
5,agent,841500,15600,136500.0,309850.0,297066.06420121435
5,firm,82000000,2000000,68000000.0,50700000.0,32465520.171406463
6,agent,670800,4500,100350.0,236260.0,258825.6293337273
6,firm,73000000,25000000,54000000.0,51300000.0,18401358.64549137
7,agent,739600,60000,208600.0,271050.0,195732.60459105938
7,firm,92000000,26000000,65500000.0,63000000.0,22262075.374951005
8,agent,436500,39200,183400.0,202610.0,131061.14183845645
8,firm,100000000,14000000,55000000.0,58300000.0,24726706.21008791
9,agent,537600,73600,310050.0,295170.0,148652.62897103434
9,firm,99000000,2000000,53000000.0,47600000.0,34120961.299471036
