iteration,type,id,money
1,agent,G0,530100.00
1,agent,G1,600600.00
1,agent,G2,570070.00
1,agent,G3,272800.00
1,agent,G4,99400.00
1,agent,G5,134000.00
1,agent,G6,526672.00
1,agent,G7,86130.00
1,agent,G8,11200.00
1,agent,G9,615000.00
1,firm,F0,27000000.00
1,firm,F1,69992528.00
1,firm,F2,18000000.00
10,agent,G0,537119.00
10,agent,G1,375306.72
10,agent,G2,573147.00
10,agent,G3,267262.00
10,agent,G4,96834.00
10,agent,G5,298257.52
10,agent,G6,296508.36
10,agent,G7,86130.00
10,agent,G8,42900.84
10,agent,G9,883190.76
10,firm,F0,27008689.40
10,firm,F1,69980173.40
10,firm,F2,17992981.00
20,agent,G0,1006745.13
20,agent,G1,331274.25
20,agent,G2,353815.37
20,agent,G3,264601.40
20,agent,G4,114648.84
20,agent,G5,279768.13
20,agent,G6,298751.78
20,agent,G7,90443.00
20,agent,G8,41641.86
20,agent,G9,666593.15
20,firm,F0,26985600.00
20,firm,F1,70001601.50
20,firm,F2,18003015.60
30,agent,G0,631539.00
30,agent,G1,301479.42
30,agent,G2,346410.64
30,agent,G3,211940.63
30,agent,G4,95521.71
30,agent,G5,265807.53
30,agent,G6,297488.78
30,agent,G7,520233.29
30,agent,G8,72818.73
30,agent,G9,708556.06
30,firm,F0,26998542.50
30,firm,F1,69991799.30
30,firm,F2,17996362.40
